j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 13 7 4.95176 42.7941 37.842344851859430 4.3532571886444611 4.353251E+00 26.4638
2 14 8 8.19064 32.3115 24.120855924113787 4.2954948605280538 4.295491E+00 23.3504
3 15 9 8.71116 26.5651 17.853938436079694 4.2360243200277354 4.235994E+00 20.8925
4 16 10 8.53864 22.7865 14.247858033388621 4.1837135743269664 4.183664E+00 18.9027
5 17 11 8.16541 20.0596 11.894188706177635 4.1354843010795683 4.135483E+00 17.259
6 18 12 7.74126 17.9753 10.234035946815933 4.0922577264576478 4.092211E+00 15.8783
7 19 13 7.3199 16.3184 8.9985009631140009 4.0563385275445993 4.056338E+00 14.7021
8 20 14 6.92714 14.9632 8.0360631857986462 4.0171762117020799 4.017093E+00 13.6882
9 21 15 6.56142 13.8302 7.2687772082617323 3.9798645579566103 3.979790E+00 12.8051
10 22 16 6.22069 12.8665 6.6458098355429707 3.9561126550982317 3.955922E+00 12.029
11 23 17 5.91431 12.0353 6.1209867448796773 3.9241296546284814 3.924083E+00 11.3416
12 24 18 5.63494 11.3099 5.6749634164915648 3.8826104352117161 3.882535E+00 10.7286
13 25 19 5.372 10.6707 5.2986961631698453 3.8598301075906836 3.859830E+00 10.1784
14 26 20 5.12463 10.1026 4.9779721832256891 3.8655943838210094 3.865520E+00 9.68187
15 27 21 4.91612 9.5941 4.6779830517479342 3.8035984492595696 3.803516E+00 9.23155
16 28 22 4.69728 9.1359 4.4386152958958371 3.7769878390092027 3.776706E+00 8.82126
17 29 23 4.52843 8.7208 4.1923745938589700 3.7258308749229427 3.725819E+00 8.44589
18 30 24 4.30616 8.3428 4.0366448949639526 3.8441300104527443 3.843821E+00 8.10116
19 31 25 4.14286 7.9970 3.8541365480510752 3.8451086764736986 3.844594E+00 7.78347
20 32 26 3.94084 7.6794 3.7385643195721907 3.8179206207956158 3.817534E+00 7.48975
21 33 27 3.78844 7.3867 3.5982593503650522 3.8786460337705191 3.878645E+00 7.2174
22 34 28 3.6679 7.1159 3.4480003881587238 3.8980307474189098 3.897315E+00 6.96415
23 35 29 3.49819 6.8646 3.3664083672872116 4.0178054122852256 4.017447E+00 6.72808
24 36 30 3.41112 6.6307 3.2195778774524544 3.7416542149858407 3.741527E+00 6.50749
25 37 31 3.23031 6.4126 3.1822909603283689 3.6952347129188712 3.695136E+00 6.3009
26 38 32 3.19133 6.2085 3.0171717343526856 3.6676474421517580 3.667540E+00 6.10703
27 39 33 2.99167 6.0173 3.0256345722565317 3.5897761565005912 3.589552E+00 5.92473
28 40 34 2.94252 5.8376 2.8950775833936073 3.4818338929754362 3.481825E+00 5.753
29 41 35 2.8499 5.6685 2.8186006833788806 3.4339920549698268 3.433866E+00 5.59094
30 42 36 2.77196 5.5091 2.7371443152606076 3.5268408234731194 3.526277E+00 5.43776
31 43 37 2.58844 5.3584 2.7699613649119001 3.3300721749941098 3.329764E+00 5.29276
32 44 38 2.49683 5.2159 2.7190703728267782 3.1937928369227984 3.193673E+00 5.15528
33 45 39 2.25856 5.0809 2.8223386170488673 3.2936574929117146 3.293500E+00 5.02477
34 46 40 2.19755 4.9527 2.7551520522672983 3.7994984916755139 3.798729E+00 4.9007
35 47 41 2.54638 4.8309 2.2845206523953996 3.5045611553898381 3.504419E+00 4.78261
36 48 42 2.52222 4.7150 2.1927838983816001 3.7364014411319229 3.736364E+00 4.67008
37 49 43 2.62718 4.6046 1.9774235525134274 3.8372152382395877 3.836746E+00 4.56272
38 50 44 2.62176 4.4993 1.8775351006093499 3.8362669210159419 3.835740E+00 4.46019
