j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 39 20 6.70593 44.2654 37.559471471968763 0.32042712968622428 3.204267E-01 17.229
2 40 21 10.422 34.2449 23.822925245354725 0.34226561593876514 3.422653E-01 16.4277
3 41 22 11.3588 28.7743 17.415458716757325 0.31123591294836489 3.112357E-01 15.6976
4 42 23 11.2214 25.1750 13.953584432566540 0.32726137933594507 3.272576E-01 15.0296
5 43 24 11.2212 22.5680 11.346828895441133 0.30455021391118203 3.045447E-01 14.4161
6 44 25 10.6595 20.5638 9.9043255697576278 0.37828020006543955 3.782801E-01 13.8508
7 45 26 10.2376 18.9591 8.7214903897863714 0.32587370923737580 3.258717E-01 13.3281
8 46 27 9.82464 17.6357 7.8110590623868275 0.40409078586845326 4.040899E-01 12.8435
9 47 28 9.24867 16.5196 7.2709310905492686 0.38104561546582433 3.810395E-01 12.3928
10 48 29 9.22246 15.5614 6.3389402705116478 0.33822479707233510 3.382116E-01 11.9727
11 49 30 8.65956 14.7271 6.0675444967723955 0.34414521459433112 3.441352E-01 11.5802
12 50 31 8.43437 13.9921 5.5577317333250065 0.29688614400592750 2.968688E-01 11.2125
