j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 27 14 6.63325 43.9387 37.305452649980190 0.89923154639354641 8.992315E-01 20.1484
2 28 15 10.4031 33.8037 23.400554534183872 0.89209789427562891 8.920979E-01 18.8485
3 29 16 11.1437 28.2573 17.113554487128884 0.88224570483967291 8.822451E-01 17.7062
4 30 17 11.0463 24.6033 13.557042748312805 0.87584163791573311 8.758323E-01 16.6944
5 31 18 10.7152 21.9550 11.239751960919767 0.86528104997031130 8.652695E-01 15.792
6 32 19 10.3098 19.9191 9.6093158199234701 0.85802685378310151 8.580260E-01 14.9822
7 33 20 9.86018 18.2898 8.4296224785496321 0.85098000865994183 8.509689E-01 14.2513
8 34 21 9.3428 16.9473 7.6045046962475267 0.87456902933394109 8.745687E-01 13.5885
9 35 22 9.00631 15.8163 6.8099906663645493 0.83991994815277404 8.399181E-01 12.9845
10 36 23 8.50701 14.8468 6.3397868920497036 0.91521387890274575 9.151767E-01 12.432
11 37 24 8.23965 14.0039 5.7642520595344449 0.85283598082952927 8.528024E-01 11.9246
12 38 25 7.78734 13.2627 5.4753626455262152 0.97387379811502139 9.738538E-01 11.457
13 39 26 7.51487 12.6044 5.0895341070013096 0.90205022526555168 9.020464E-01 11.0246
14 40 27 7.20594 12.0149 4.8089637661643234 0.93258648255564092 9.325833E-01 10.6237
15 41 28 6.89383 11.4834 4.5895675228735788 0.96537174392723779 9.653668E-01 10.251
16 42 29 6.68693 11.0010 4.3140687056510316 1.1153872972022194 1.115375E+00 9.90347
17 43 30 6.42636 10.5609 4.1345381738831124 1.0761277066471067 1.076053E+00 9.57876
18 44 31 6.33815 10.1574 3.8192476704547476 0.82618280882494421 8.261619E-01 9.27468
19 45 32 6.17176 9.7859 3.6141404295209405 0.88906896229543486 8.890553E-01 8.9893
20 46 33 6.0299 9.4425 3.4126004631102544 0.93475393092922310 9.347412E-01 8.72096
21 47 34 5.86748 9.1240 3.2565179673719800 1.0105199950724391 1.010341E+00 8.46818
22 48 35 5.60861 8.8276 3.2189934891837075 0.83356083525532021 8.335322E-01 8.22964
23 49 36 5.56606 8.5510 2.9849356376470193 0.93369357762897198 9.336697E-01 8.00417
24 50 37 5.35335 8.2922 2.9388504262341018 0.96458498394812564 9.644145E-01 7.79073
