j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 6 3.5 2.79582 40.2030 37.407181738784956 14.732305130635304 1.473230E+01 32.0293
2 7 4.5 5.68873 29.2059 23.517167327558436 14.652926417363403 1.465292E+01 25.6235
3 8 5.5 6.08863 23.2837 17.195068392261554 14.572923385299694 1.457292E+01 21.3529
4 9 6.5 5.89784 19.4712 13.573361926056903 14.503931620892827 1.450387E+01 18.3025
5 10 7.5 5.55591 16.7787 11.222794632771407 14.441807557121987 1.444174E+01 16.0147
6 11 8.5 5.19068 14.7631 9.5724228917459051 14.382839224492242 1.438271E+01 14.2353
7 12 9.5 4.84306 13.1922 8.3491378816148920 14.325988159236454 1.432546E+01 12.8117
8 13 10.5 4.52475 11.9305 7.4057456580458147 14.269358504700945 1.426935E+01 11.647
9 14 11.5 4.23782 10.8934 6.6555758445543880 14.209720900312606 1.420905E+01 10.6764
10 15 12.5 3.97987 10.0250 6.0451255124171714 14.150289837768883 1.414945E+01 9.85517
11 16 13.5 3.74855 9.2867 5.5381482891766503 14.089511280117954 1.408880E+01 9.15123
12 17 14.5 3.5405 8.6509 5.1104047756431346 14.021386932764306 1.402133E+01 8.54115
13 18 15.5 3.3526 8.0976 4.7449959931224415 13.952556231563102 1.395122E+01 8.00733
14 19 16.5 3.18244 7.6114 4.4289568202351992 13.885667889010501 1.388504E+01 7.53631
15 20 17.5 3.02844 7.1808 4.1523605506191386 13.810621262625839 1.380872E+01 7.11763
16 21 18.5 2.88732 6.7966 3.9092767789355709 13.726593861331366 1.372651E+01 6.74301
17 22 19.5 2.75833 6.4518 3.6934681731228811 13.647311095554256 1.364727E+01 6.40586
18 23 20.5 2.64118 6.1404 3.4992206113999136 13.555081279570414 1.355508E+01 6.10082
19 24 21.5 2.53229 5.8579 3.3256078843368369 13.464364425452619 1.346352E+01 5.82351
20 25 22.5 2.43093 5.6004 3.1694668546029323 13.381169515247572 1.337987E+01 5.57032
21 26 23.5 2.33567 5.3647 3.0290261579119329 13.303290124269308 1.330199E+01 5.33822
22 27 24.5 2.24777 5.1481 2.9003277498439926 13.195695319783793 1.319570E+01 5.12469
23 28 25.5 2.16006 4.9484 2.7883355645744703 13.201943842062276 1.320170E+01 4.92759
24 29 26.5 2.08794 4.7636 2.6756573955064593 13.092270150314389 1.309114E+01 4.74508
25 30 27.5 2.02521 4.5922 2.5669881419283107 12.877270548998478 1.287506E+01 4.57562
26 31 28.5 1.95703 4.4328 2.4757663065587985 12.792678037856989 1.279140E+01 4.41784
27 32 29.5 1.88961 4.2841 2.3944945954497459 12.705039200070058 1.270497E+01 4.27058
28 33 30.5 1.82164 4.1451 2.3234628801430293 12.653529654412328 1.265217E+01 4.13281
29 34 31.5 1.77121 4.0148 2.2435864260218046 12.456222136690018 1.245122E+01 4.00366
30 35 32.5 1.71744 3.8925 2.1750570911416300 12.498003003619420 1.249630E+01 3.88234
31 36 33.5 1.67864 3.7774 2.0987586790734776 12.218805957893910 1.221880E+01 3.76815
32 37 34.5 1.63591 3.6690 2.0330915676614332 12.042384642701180 1.203900E+01 3.66049
33 38 35.5 1.58869 3.5666 1.9779086426670942 11.834591091977831 1.183306E+01 3.55881
34 39 36.5 1.54232 3.4698 1.9274795355132173 11.505396006797474 1.150293E+01 3.46263
35 40 37.5 1.52182 3.3781 1.8562758788510061 11.163891813630846 1.115753E+01 3.37151
36 41 38.5 1.47057 3.2912 1.8206330408535236 11.183902563836821 1.118239E+01 3.28506
37 42 39.5 1.4444 3.2086 1.7641966753971727 10.559574060519409 1.055513E+01 3.20293
38 43 40.5 1.41613 3.1301 1.7139691892506319 10.607075554036779 1.060634E+01 3.12481
39 44 41.5 1.39152 3.0553 1.6637768900045997 10.300823599188027 1.029581E+01 3.05041
40 45 42.5 1.34517 2.9840 1.6388270264616165 10.376344794301907 1.037019E+01 2.97947
41 46 43.5 1.34974 2.9160 1.5662641007877112 9.9595401623986461 9.954802E+00 2.91176
42 47 44.5 1.18381 2.8510 1.6671904617301228 11.642688313354101 1.163824E+01 2.84705
43 48 45.5 1.12924 2.7889 1.6596556264983127 11.398021371518510 1.139154E+01 2.78516
44 49 46.5 1.39155 2.7294 1.3378506416827314 10.992316046506346 1.098251E+01 2.7259
45 50 47.5 1.34337 2.6724 1.3290324719475972 11.599868410572666 1.159377E+01 2.66911
