#Theta He10 He15 diff
14.0362 8.628563E+00 8.832221E+00 -0.203658
25.4752 1.137380E-02 1.121280E-02 0.000161
34.0383 4.252208E+00 4.309669E+00 -0.057461
41.5983 1.275907E-02 1.265513E-02 0.00010394
48.6821 3.101235E+00 3.108399E+00 -0.007164
55.5340 1.235055E-02 1.230033E-02 5.022e-05
62.2988 2.490967E+00 2.468252E+00 0.022715
69.0799 1.122798E-02 1.121280E-02 1.518e-05
75.9638 2.128091E+00 2.087756E+00 0.040335
83.0347 9.762858E-03 9.749655E-03 1.3203e-05
90.3860 1.886877E+00 1.847996E+00 0.038881
98.1334 8.018829E-03 7.960600E-03 5.8229e-05
106.4368 1.796553E+00 1.754466E+00 0.042087
115.5421 6.041029E-03 5.980851E-03 6.0178e-05
125.8827 1.909826E+00 1.865744E+00 0.044082
138.4017 3.742660E-03 3.680968E-03 6.1692e-05
156.3833 3.077442E+00 3.017404E+00 0.060038
