#Theta He10 He15 diff
14.5 31.9958421 31.9513325 0.0445096
14.6 31.5225874 31.4787564 0.043831
14.7 31.0459421 31.0027898 0.0431523
14.8 30.5661340 30.5236604 0.0424736
14.9 30.0833918 30.0415962 0.0417956
15.0 29.5979440 29.5568254 0.0411186
15.1 29.1100196 29.0695766 0.040443
15.2 28.6198475 28.5800781 0.0397694
15.3 28.1276566 28.0885585 0.0390981
15.4 27.6336756 27.5952460 0.0384296
15.5 27.1381329 27.1003687 0.0377642
15.6 26.6412567 26.6041543 0.0371024
15.7 26.1432746 26.1068299 0.0364447
15.8 25.6444138 25.6086223 0.0357915
15.9 25.1449007 25.1097576 0.0351431
16.0 24.6449610 24.6104610 0.0345
16.1 24.1448196 24.1109569 0.0338627
16.2 23.6447003 23.6114689 0.0332314
16.3 23.1448260 23.1122194 0.0326066
16.4 22.6454184 22.6134296 0.0319888
16.5 22.1466980 22.1153198 0.0313782
16.6 21.6488839 21.6181085 0.0307754
16.7 21.1521937 21.1220131 0.0301806
16.8 20.6568438 20.6272494 0.0295944
16.9 20.1630485 20.1340316 0.0290169
17.0 19.6710207 19.6425721 0.0284486
17.1 19.1809715 19.1530815 0.02789
17.2 18.6931100 18.6657687 0.0273413
17.3 18.2076434 18.1808405 0.0268029
17.4 17.7247767 17.6985015 0.0262752
17.5 17.2447129 17.2189545 0.0257584
17.6 16.7676527 16.7423997 0.025253
17.7 16.2937945 16.2690351 0.0247594
17.8 15.8233341 15.7990565 0.0242776
17.9 15.3564651 15.3326569 0.0238082
18.0 14.8933784 14.8700270 0.0233514
18.1 14.4342623 14.4113547 0.0229076
18.2 13.9793021 13.9568253 0.0224768
18.3 13.5286808 13.5066210 0.0220598
18.4 13.0825780 13.0609216 0.0216564
18.5 12.6411708 12.6199036 0.0212672
18.6 12.2046329 12.1837407 0.0208922
18.7 11.7731351 11.7526032 0.0205319
18.8 11.3468451 11.3266587 0.0201864
18.9 10.9259273 10.9060712 0.0198561
19.0 10.5105426 10.4910017 0.0195409
19.1 10.1008490 10.0816075 0.0192415
19.2 9.6970006 9.6780429 0.0189577
19.3 9.2991483 9.2804584 0.0186899
19.4 8.9074395 8.8890011 0.0184384
19.5 8.5220178 8.5038146 0.0182032
19.6 8.1430233 8.1250388 0.0179845
19.7 7.7705923 7.7528097 0.0177826
19.8 7.4048574 7.3872600 0.0175974
19.9 7.0459476 7.0285181 0.0174295
20.0 6.6939876 6.6767090 0.0172786
20.1 6.3490986 6.3319535 0.0171451
20.2 6.0113977 5.9943687 0.017029
20.3 5.6809980 5.6640676 0.0169304
20.4 5.3580087 5.3411591 0.0168496
20.5 5.0425348 5.0257484 0.0167864
20.6 4.7346774 4.7179362 0.0167412
20.7 4.4345332 4.4178194 0.0167138
20.8 4.1421950 4.1254907 0.0167043
20.9 3.8577513 3.8410383 0.016713
21.0 3.5812864 3.5645467 0.0167397
21.1 3.3128804 3.2960958 0.0167846
21.2 3.0526090 3.0357614 0.0168476
21.3 2.8005438 2.7836151 0.0169287
21.4 2.5567520 2.5397240 0.017028
21.5 2.3212964 2.3041510 0.0171454
21.6 2.0942357 2.0769547 0.017281
21.7 1.8756241 1.8581895 0.0174346
21.8 1.6655114 1.6479050 0.0176064
21.9 1.4639432 1.4461470 0.0177962
22.0 1.2709604 1.2529566 0.0180038
22.1 1.0866000 1.0683705 0.0182295
22.2 0.9108942 0.8924213 0.0184729
22.3 0.7438710 0.7251370 0.018734
22.4 0.5855540 0.5665412 0.0190128
22.5 0.4359625 0.4166535 0.019309
22.6 0.2951113 0.2754886 0.0196227
22.7 0.1630109 0.1430573 0.0199536
22.8 0.0396675 0.0193658 0.0203017
22.9 -0.0749172 -0.0955839 0.0206667
23.0 -0.1807457 -0.2017942 0.0210485
23.1 -0.2778247 -0.2992717 0.021447
23.2 -0.3661655 -0.3880273 0.0218618
23.3 -0.4457834 -0.4680764 0.022293
23.4 -0.5166980 -0.5394382 0.0227402
23.5 -0.5789332 -0.6021364 0.0232032
23.6 -0.6325171 -0.6561990 0.0236819
23.7 -0.6774819 -0.7016579 0.024176
23.8 -0.7138640 -0.7385492 0.0246852
23.9 -0.7417038 -0.7669131 0.0252093
24.0 -0.7610460 -0.7867940 0.025748
24.1 -0.7719390 -0.7982402 0.0263012
24.2 -0.7744356 -0.8013040 0.0268684
24.3 -0.7685923 -0.7960417 0.0274494
24.4 -0.7544695 -0.7825135 0.028044
24.5 -0.7321317 -0.7607834 0.0286517
24.6 -0.7016470 -0.7309194 0.0292724
24.7 -0.6630874 -0.6929930 0.0299056
24.8 -0.6165286 -0.6470798 0.0305512
24.9 -0.5620501 -0.5932587 0.0312086
25.0 -0.4997350 -0.5316125 0.0318775
25.1 -0.4296698 -0.4622274 0.0325576
25.2 -0.3519448 -0.3851933 0.0332485
25.3 -0.2666535 -0.3006035 0.03395
25.4 -0.1738931 -0.2085547 0.0346616
25.5 -0.0737640 -0.1091468 0.0353828
25.6 0.0336301 -0.0024833 0.0361134
25.7 0.1481822 0.1113293 0.0368529
25.8 0.2697821 0.2321814 0.0376007
25.9 0.3983168 0.3599599 0.0383569
26.0 0.5336698 0.4945492 0.0391206
26.1 0.6757219 0.6358304 0.0398915
26.2 0.8243510 0.7836816 0.0406694
26.3 0.9794320 0.9379785 0.0414535
26.4 1.1408372 1.0985936 0.0422436
26.5 1.3084361 1.2653970 0.0430391
26.6 1.4820957 1.4382560 0.0438397
26.7 1.6616804 1.6170356 0.0446448
26.8 1.8470520 1.8015980 0.045454
26.9 2.0380702 1.9918033 0.0462669
27.0 2.2345920 2.1875092 0.0470828
27.1 2.4364726 2.3885711 0.0479015
27.2 2.6435647 2.5948424 0.0487223
27.3 2.8557191 2.8061743 0.0495448
27.4 3.0727846 3.0224160 0.0503686
27.5 3.2946079 3.2434149 0.051193
27.6 3.5210341 3.4690166 0.0520175
27.7 3.7519065 3.6990646 0.0528419
27.8 3.9870667 3.9334013 0.0536654
27.9 4.2263547 4.1718671 0.0544876
28.0 4.4696091 4.4143011 0.055308
28.1 4.7166669 4.6605409 0.056126
28.2 4.9673640 4.9104228 0.0569412
28.3 5.2215350 5.1637819 0.0577531
28.4 5.4790133 5.4204523 0.058561
28.5 5.7396312 5.6802667 0.0593645
28.6 6.0032202 5.9430570 0.0601632
28.7 6.2696107 6.2086544 0.0609563
28.8 6.5386325 6.4768890 0.0617435
28.9 6.8101146 6.7475904 0.0625242
29.0 7.0838854 7.0205875 0.0632979
29.1 7.3597727 7.2957086 0.0640641
29.2 7.6376038 7.5727817 0.0648221
29.3 7.9172060 7.8516343 0.0655717
29.4 8.1984059 8.1320938 0.0663121
29.5 8.4810301 8.4139872 0.0670429
29.6 8.7649052 8.6971416 0.0677636
29.7 9.0498577 8.9813841 0.0684736
29.8 9.3357141 9.2665416 0.0691725
29.9 9.6223013 9.5524416 0.0698597
30.0 9.9094462 9.8389116 0.0705346
30.1 10.1969762 10.1257793 0.0711969
30.2 10.4847192 10.4128732 0.071846
30.3 10.7725034 10.7000220 0.0724814
30.4 11.0601578 10.9870552 0.0731026
30.5 11.3475120 11.2738029 0.0737091
30.6 11.6343963 11.5600960 0.0743003
30.7 11.9206421 11.8457661 0.074876
30.8 12.2060814 12.1306460 0.0754354
30.9 12.4905476 12.4145694 0.0759782
31.0 12.7738749 12.6973709 0.076504
