#Theta He10 He15 diff
1.8486 4.315926E+01 4.302455E+01 0.13471
4.1347 5.046640E-01 4.919931E-01 0.0126709
6.1344 1.753237E+01 1.733891E+01 0.19346
8.0650 4.983985E-01 5.220637E-01 -0.0236652
9.9682 1.214413E+01 1.220146E+01 -0.05733
11.8588 4.857569E-01 4.890693E-01 -0.0033124
13.7435 9.287343E+00 9.488979E+00 -0.201636
15.6260 4.501571E-01 4.385358E-01 0.0116213
17.5089 7.470071E+00 7.631648E+00 -0.161577
19.3938 4.219312E-01 4.063955E-01 0.0155357
21.2818 6.102647E+00 6.208612E+00 -0.105965
23.1741 3.700175E-01 3.621766E-01 0.0078409
25.0717 4.989026E+00 5.014055E+00 -0.025029
26.9752 3.428235E-01 3.358815E-01 0.006942
28.8856 4.186151E+00 4.161123E+00 0.025028
30.8036 3.001051E-01 2.969854E-01 0.0031197
32.7299 3.386783E+00 3.368139E+00 0.018644
34.6653 2.409659E-01 2.406937E-01 0.0002722
36.6106 2.849793E+00 2.814837E+00 0.034956
38.5666 1.954260E-01 1.948865E-01 0.0005395
40.5340 2.352955E+00 2.328260E+00 0.024695
42.5137 1.692744E-01 1.670430E-01 0.0022314
44.5065 1.917567E+00 1.908798E+00 0.008769
46.5135 1.448854E-01 1.419963E-01 0.0028891
48.5356 1.650809E+00 1.625833E+00 0.024976
50.5736 1.202941E-01 1.181061E-01 0.002188
52.6289 1.403455E+00 1.359193E+00 0.044262
54.7024 1.016741E-01 9.999286E-02 0.00168124
56.7953 1.233812E+00 1.176417E+00 0.057395
58.9091 8.641567E-02 8.490457E-02 0.0015111
61.0450 1.090483E+00 1.033358E+00 0.057125
63.2045 7.273276E-02 7.104697E-02 0.00168579
65.3893 9.389073E-01 8.882559E-01 0.0506514
67.6012 6.072770E-02 5.869537E-02 0.00203233
69.8419 8.279650E-01 7.823167E-01 0.0456483
72.1135 4.938862E-02 4.741092E-02 0.0019777
74.4184 7.468300E-01 7.064694E-01 0.0403606
76.7590 3.868608E-02 3.732540E-02 0.00136068
79.1380 6.846916E-01 6.587278E-01 0.0259638
81.5586 2.906839E-02 2.782815E-02 0.00124024
84.0240 6.071488E-01 5.921800E-01 0.0149688
86.5381 2.040259E-02 1.930157E-02 0.00110102
89.1052 4.682218E-01 4.439409E-01 0.0242809
91.7302 1.361349E-02 1.287987E-02 0.00073362
94.4186 3.141504E-01 2.903672E-01 0.0237832
97.1770 9.082329E-03 8.534813E-03 0.000547516
100.0128 2.185277E-01 2.083464E-01 0.0101813
102.9348 5.934871E-03 5.478094E-03 0.000456777
105.9535 1.573717E-01 1.516571E-01 0.0057146
109.0815 3.683997E-03 3.327330E-03 0.000356667
112.3343 1.043462E-01 9.525247E-02 0.00909373
115.7312 2.100266E-03 1.976632E-03 0.000123634
119.2965 7.856055E-02 6.483470E-02 0.0137259
123.0622 1.026013E-03 1.025966E-03 4.7e-08
127.0715 6.073123E-02 4.819099E-02 0.0125402
131.3849 2.659161E-04 3.988560E-04 -0.00013294
136.0923 3.152753E-02 2.733164E-02 0.00419589
141.3379 0.000000E+00 1.376583E-04 -0.000137658
147.3806 9.101155E-03 1.148094E-02 -0.00237979
154.7879 0.000000E+00 0.000000E+00 0
165.5225 1.881415E-03 6.657013E-03 -0.0047756
