#Theta He10 He15 diff
0.0 0.0000000 0.0000000 0
0.1 0.9549308 0.9629796 -0.0080488
0.2 1.9033533 1.9193549 -0.0160016
0.3 2.8388240 2.8625869 -0.0237629
0.4 3.7550277 3.7862676 -0.0312399
0.5 4.6458398 4.6841830 -0.0383432
0.6 5.5053873 5.5503746 -0.0449873
0.7 6.3281059 6.3791979 -0.051092
0.8 7.1087942 7.1653780 -0.0565838
0.9 7.8426643 7.9040602 -0.0613959
1.0 8.5253874 8.5908566 -0.0654692
1.1 9.1531346 9.2218881 -0.0687535
1.2 9.7226121 9.7938197 -0.0712076
1.3 10.2310909 10.3038909 -0.0728
1.4 10.6764301 10.7499393 -0.0735092
1.5 11.0570942 11.1304180 -0.0733238
1.6 11.3721632 11.4444066 -0.0722434
1.7 11.6213370 11.6916146 -0.0702776
1.8 11.8049324 11.8723793 -0.0674469
1.9 11.9238742 11.9876557 -0.0637815
2.0 11.9796790 12.0390013 -0.0593223
2.1 11.9744338 12.0285529 -0.0541191
2.2 11.9107678 11.9589990 -0.0482312
2.3 11.7918193 11.8335453 -0.041726
2.4 11.6211964 11.6558753 -0.0346789
2.5 11.4029341 11.4301061 -0.027172
2.6 11.1414465 11.1607401 -0.0192936
2.7 10.8414752 10.8526122 -0.011137
2.8 10.5080351 10.5108347 -0.0027996
2.9 10.1463573 10.1407393 0.005618
3.0 9.7618306 9.7478170 0.0140136
3.1 9.3599415 9.3376576 0.0222839
3.2 8.9462136 8.9158880 0.0303256
3.3 8.5261482 8.4881108 0.0380374
3.4 8.1051646 8.0598446 0.04532
3.5 7.6885425 7.6364646 0.0520779
3.6 7.2813668 7.2231465 0.0582203
3.7 6.8884748 6.8248131 0.0636617
3.8 6.5144069 6.4460835 0.0683234
3.9 6.1633616 6.0912276 0.072134
4.0 5.8391542 5.7641237 0.0750305
4.1 5.5451809 5.4682222 0.0769587
4.2 5.2843877 5.2065139 0.0778738
4.3 5.0592451 4.9815038 0.0777413
4.4 4.8717283 4.7951915 0.0765368
4.5 4.7233037 4.6490566 0.0742471
4.6 4.6149206 4.5440512 0.0708694
4.7 4.5470097 4.4805976 0.0664121
4.8 4.5194877 4.4585930 0.0608947
4.9 4.5317669 4.4774198 0.0543471
5.0 4.5827712 4.5359616 0.0468096
5.1 4.6709579 4.6326250 0.0383329
5.2 4.7943435 4.7653665 0.028977
5.3 4.9505358 4.9317247 0.0188111
5.4 5.1367688 5.1288566 0.0079122
5.5 5.3499429 5.3535779 -0.003635
5.6 5.5866679 5.6024068 -0.0157389
5.7 5.8433086 5.8716115 -0.0283029
5.8 6.1160337 6.1572586 -0.0412249
5.9 6.4008649 6.4552648 -0.0543999
6.0 6.6937285 6.7614485 -0.06772
6.1 6.9905071 7.0715828 -0.0810757
6.2 7.2870902 7.3814478 -0.0943576
6.3 7.5794258 7.6868824 -0.107457
6.4 7.8635690 7.9838346 -0.120266
6.5 8.1357298 8.2684104 -0.132681
6.6 8.3923176 8.5369190 -0.144601
6.7 8.6299835 8.7859164 -0.155933
6.8 8.8456585 9.0122446 -0.166586
6.9 9.0365884 9.2130668 -0.176478
7.0 9.2003635 9.3858988 -0.185535
7.1 9.3349451 9.5286354 -0.19369
7.2 9.4386857 9.6395719 -0.200886
7.3 9.5103452 9.7174204 -0.207075
7.4 9.5491014 9.7613207 -0.212219
7.5 9.5545553 9.7708466 -0.216291
7.6 9.5267313 9.7460053 -0.219274
7.7 9.4660720 9.6872330 -0.221161
7.8 9.3734278 9.5953844 -0.221957
7.9 9.2500417 9.4717175 -0.221676
8.0 9.0975295 9.3178731 -0.220344
8.1 8.9178555 9.1358504 -0.217995
8.2 8.7133037 8.9279783 -0.214675
8.3 8.4864464 8.6968824 -0.210436
8.4 8.2401080 8.4454493 -0.205341
8.5 7.9773276 8.1767877 -0.19946
8.6 7.7013182 7.8941872 -0.192869
8.7 7.4154247 7.6010752 -0.185651
8.8 7.1230804 7.3009728 -0.177892
8.9 6.8277628 6.9974494 -0.169687
9.0 6.5329496 6.6940780 -0.161128
9.1 6.2420750 6.3943898 -0.152315
9.2 5.9584865 6.1018308 -0.143344
9.3 5.6854039 5.8197194 -0.134316
9.4 5.4258796 5.5512055 -0.125326
9.5 5.1827623 5.2992334 -0.116471
9.6 4.9586625 5.0665061 -0.107844
9.7 4.7559218 4.8554544 -0.0995326
9.8 4.5765863 4.6682080 -0.0916217
9.9 4.4223831 4.5065727 -0.0841896
10.0 4.2947018 4.3720097 -0.0773079
10.1 4.1945796 4.2656214 -0.0710418
10.2 4.1226919 4.1881402 -0.0654483
10.3 4.0793467 4.1399231 -0.0605764
10.4 4.0644842 4.1209504 -0.0564662
10.5 4.0776808 4.1308299 -0.0531491
10.6 4.1181576 4.1688047 -0.0506471
10.7 4.1847938 4.2337665 -0.0489727
10.8 4.2761436 4.3242727 -0.0481291
10.9 4.3904575 4.4385676 -0.0481101
11.0 4.5257072 4.5746075 -0.0489003
11.1 4.6796135 4.7300890 -0.0504755
11.2 4.8496779 4.9024807 -0.0528028
11.3 5.0332160 5.0890570 -0.055841
11.4 5.2273929 5.2869349 -0.059542
11.5 5.4292613 5.4931111 -0.0638498
11.6 5.6357992 5.7045021 -0.0687029
11.7 5.8439496 5.9179832 -0.0740336
11.8 6.0506592 6.1304293 -0.0797701
11.9 6.2529181 6.3387542 -0.0858361
12.0 6.4477970 6.5399496 -0.0921526
12.1 6.6324846 6.7311230 -0.0986384
12.2 6.8043223 6.9095331 -0.105211
12.3 6.9608370 7.0726242 -0.111787
12.4 7.0997714 7.2180568 -0.118285
12.5 7.2191110 7.3437356 -0.124625
12.6 7.3171083 7.4478350 -0.130727
12.7 7.3923032 7.5288194 -0.136516
12.8 7.4435392 7.5854614 -0.141922
12.9 7.4699763 7.6168545 -0.146878
13.0 7.4710995 7.6224229 -0.151323
13.1 7.4467230 7.6019257 -0.155203
13.2 7.3969902 7.5554580 -0.158468
13.3 7.3223697 7.4834470 -0.161077
13.4 7.2236469 7.3866445 -0.162998
13.5 7.1019122 7.2661145 -0.164202
13.6 6.9585444 7.1232176 -0.164673
13.7 6.7951914 6.9595918 -0.1644
13.8 6.6137476 6.7771291 -0.163381
13.9 6.4163275 6.5779502 -0.161623
14.0 6.2052375 6.3643752 -0.159138
14.1 5.9829452 6.1388932 -0.155948
14.2 5.7520464 5.9041290 -0.152083
14.3 5.5152317 5.6628086 -0.147577
14.4 5.2752508 5.4177240 -0.142473
14.5 5.0348771 5.1716970 -0.13682
