#Theta He10 He15 diff
9.4623 2.904195E+00 2.849366E+00 0.054829
16.7538 3.333411E-02 3.719827E-02 -0.00386416
21.9871 1.223786E+00 1.207274E+00 0.016512
26.4219 2.881834E-02 3.170384E-02 -0.0028855
30.4159 8.218435E-01 8.138500E-01 0.0079935
34.1303 2.547800E-02 2.697243E-02 -0.00149443
37.6543 6.353585E-01 6.242212E-01 0.0111373
41.0431 2.121118E-02 2.206628E-02 -0.0008551
44.3339 4.942308E-01 4.805510E-01 0.0136798
47.5535 1.676474E-02 1.724487E-02 -0.00048013
50.7223 4.105012E-01 3.937527E-01 0.0167485
53.8559 1.356270E-02 1.362768E-02 -6.498e-05
56.9677 3.515964E-01 3.344566E-01 0.0171398
60.0684 1.137958E-02 1.117548E-02 0.0002041
63.1680 2.953543E-01 2.805699E-01 0.0147844
66.2751 9.591407E-03 9.326266E-03 0.000265141
69.3982 2.564060E-01 2.430971E-01 0.0133089
72.5450 7.949247E-03 7.745276E-03 0.000203971
75.7237 2.296223E-01 2.173205E-01 0.0123018
78.9422 6.389720E-03 6.228366E-03 0.000161354
82.2092 2.091181E-01 2.005287E-01 0.0085894
85.5337 4.878162E-03 4.679941E-03 0.000198221
88.9258 1.866342E-01 1.825485E-01 0.0040857
92.3969 3.422627E-03 3.214505E-03 0.000208122
95.9598 1.483512E-01 1.423595E-01 0.0059917
99.6299 2.243702E-03 2.119192E-03 0.00012451
103.4253 1.030443E-01 9.575408E-02 0.00729022
107.3684 1.465339E-03 1.367740E-03 9.7599e-05
111.4871 7.334575E-02 6.975791E-02 0.00358784
115.8179 9.170188E-04 8.491476E-04 6.78712e-05
120.4094 5.598226E-02 5.456465E-02 0.00141761
125.3297 5.304633E-04 4.951318E-04 3.53315e-05
130.6795 4.082502E-02 3.830303E-02 0.00252199
136.6202 2.573535E-04 2.573705E-04 -1.7e-08
143.4414 3.540449E-02 3.019884E-02 0.00520565
151.7779 1.144960E-04 1.145036E-04 -7.6e-09
163.8293 4.869864E-02 3.925688E-02 0.00944176
