#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar	#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 4 81.208858 52.013011 2705.353343 80.206501 45.616039 2080.823016 1.00236 6.39697 624.53	1 4 65.264063 47.501929 2256.433221 65.055108 41.525055 1724.330167 0.208955 5.97687 532.103
2 5 76.559798 52.333489 2738.794064 75.846309 48.033370 2307.204589 0.713489 4.30012 431.589	2 5 55.612233 45.916106 2108.288773 55.873536 42.326659 1791.546069 -0.261303 3.58945 316.743
3 6 73.091993 52.244276 2729.464347 72.540867 49.069366 2407.802689 0.551126 3.17491 321.662	3 6 50.582244 45.492029 2069.524742 50.897850 42.996223 1848.675166 -0.315606 2.49581 220.85
4 7 69.985498 51.946629 2698.452232 69.551758 49.465701 2446.855551 0.43374 2.48093 251.597	4 7 47.154752 44.854959 2011.967319 47.459359 43.007520 1849.646736 -0.304607 1.84744 162.321
5 8 67.021760 51.487688 2650.981984 66.679954 49.478796 2448.151286 0.341806 2.00889 202.831	5 8 45.357186 45.364534 2057.940906 45.625886 43.878091 1925.286835 -0.2687 1.48644 132.654
6 9 64.005635 50.810991 2581.756810 63.741477 49.148974 2415.621616 0.264158 1.66202 166.135	6 9 43.730489 45.037143 2028.344262 43.970452 43.841568 1922.083047 -0.239963 1.19557 106.261
7 10 61.115262 50.064760 2506.480209 60.911793 48.663470 2368.133336 0.203469 1.40129 138.347	7 10 42.637902 45.179197 2041.159799 42.860283 44.182493 1952.092650 -0.222381 0.996704 89.0671
8 11 58.202385 49.139056 2414.646832 58.050733 47.945874 2298.806828 0.151652 1.19318 115.84	8 11 41.288821 44.848467 2011.384992 41.490356 44.002221 1936.195467 -0.201535 0.846246 75.1895
9 12 55.424516 48.169799 2320.329545 55.313749 47.141544 2222.325152 0.110767 1.02825 98.0044	9 12 41.125390 45.501788 2070.412718 41.303639 44.755098 2003.018795 -0.178249 0.74669 67.3939
10 13 52.751185 47.127374 2220.989422 52.673639 46.234121 2137.593973 0.077546 0.893253 83.3954	10 13 40.228662 45.433514 2064.204231 40.391614 44.776441 2004.929633 -0.162952 0.657073 59.2746
11 14 50.193239 46.031704 2118.917745 50.142414 45.250284 2047.588190 0.050825 0.78142 71.3296	11 14 39.499046 45.198296 2042.885954 39.654832 44.622231 1991.143489 -0.155786 0.576065 51.7425
12 15 47.897576 45.045309 2029.079889 47.865830 44.352365 1967.132244 0.031746 0.692944 61.9476	12 15 38.276654 44.637134 1992.473694 38.429455 44.138392 1948.197617 -0.152801 0.498742 44.2761
13 16 45.742645 44.041521 1939.655583 45.726804 43.424467 1885.684324 0.015841 0.617054 53.9713	13 16 37.358023 44.234737 1956.711997 37.504570 43.789873 1917.552958 -0.146547 0.444864 39.159
14 17 43.845294 43.187912 1865.195717 43.839777 42.630562 1817.364831 0.005517 0.55735 47.8309	14 17 36.864738 44.140063 1948.345136 37.001978 43.737190 1912.941813 -0.13724 0.402873 35.4033
15 18 41.972191 42.214256 1782.043375 41.977468 41.713656 1740.029131 -0.005277 0.5006 42.0142	15 18 36.471804 44.266760 1959.546006 36.596538 43.890883 1926.409573 -0.124734 0.375877 33.1364
16 19 40.140976 41.145017 1692.912397 40.155696 40.695490 1656.122937 -0.01472 0.449527 36.7895	16 19 36.195138 44.317485 1964.039500 36.309144 43.966448 1933.048538 -0.114006 0.351037 30.991
17 20 38.494329 40.200669 1616.093752 38.515435 39.791734 1583.382066 -0.021106 0.408935 32.7117	17 20 35.762625 44.038731 1939.409837 35.870243 43.718244 1911.284850 -0.107618 0.320487 28.125
18 21 36.965657 39.307619 1545.088937 36.991571 38.933505 1515.817820 -0.025914 0.374114 29.2711	18 21 34.867340 43.629788 1903.558373 34.969299 43.329600 1877.454211 -0.101959 0.300188 26.1042
19 22 35.507226 38.383794 1473.315646 35.537151 38.041672 1447.168809 -0.029925 0.342122 26.1468	19 22 34.569100 43.413889 1884.765765 34.665178 43.138499 1860.930081 -0.096078 0.27539 23.8357
20 23 33.999267 37.240991 1386.891408 34.035187 36.933933 1364.115441 -0.03592 0.307058 22.776	20 23 34.320095 43.175706 1864.141557 34.410469 42.917419 1841.904815 -0.090374 0.258287 22.2367
21 24 32.155876 35.416969 1254.361718 32.201226 35.155918 1235.938605 -0.04535 0.261051 18.4231	21 24 33.983890 42.962491 1845.775659 34.069331 42.721867 1825.157961 -0.085441 0.240624 20.6177
22 25 30.070822 32.979308 1087.634779 30.127332 32.769349 1073.830234 -0.05651 0.209959 13.8045	22 25 32.944729 42.375133 1795.651866 33.026046 42.142981 1776.030835 -0.081317 0.232152 19.621
23 26 28.161339 30.690410 941.901240 28.223017 30.515134 931.173385 -0.061678 0.175276 10.7279	23 26 33.429191 42.425869 1799.954384 33.503834 42.208679 1781.572575 -0.074643 0.21719 18.3818
24 27 26.493377 28.648384 820.729900 26.558014 28.498043 812.138481 -0.064637 0.150341 8.59142	24 27 33.125415 42.193801 1780.316855 33.197689 41.994664 1763.551770 -0.072274 0.199137 16.7651
25 28 24.923884 26.687163 712.204676 24.989586 26.557124 705.280818 -0.065702 0.130039 6.92386	25 28 32.508638 41.949845 1759.789488 32.577837 41.760630 1743.950227 -0.069199 0.189215 15.8393
