#Theta He10 He15 diff
16.2377 3.115400E+00 3.066517E+00 0.048883
29.0276 5.556363E-03 5.449334E-03 0.000107029
38.3371 1.461399E+00 1.432055E+00 0.029344
46.3636 6.383421E-03 6.294266E-03 8.9155e-05
53.7367 1.017213E+00 9.993984E-01 0.0178146
60.7496 6.237135E-03 6.109457E-03 0.000127678
67.5751 8.066194E-01 7.923028E-01 0.0143166
74.3339 5.605125E-03 5.501233E-03 0.000103892
81.1236 6.900903E-01 6.700213E-01 0.020069
88.0350 4.728671E-03 4.617694E-03 0.000110977
95.1642 6.243030E-01 5.972781E-01 0.0270249
102.6266 3.785724E-03 3.667700E-03 0.000118024
110.5772 6.185934E-01 5.872920E-01 0.0313014
119.2504 2.757917E-03 2.674035E-03 8.3882e-05
129.0554 6.733560E-01 6.421360E-01 0.03122
140.8779 1.660450E-03 1.615813E-03 4.4637e-05
157.7923 1.104191E+00 1.058747E+00 0.045444
