#Theta He10 He15 diff
0.0 0.0000000 0.0000000 0
0.1 0.6775337 0.6856201 -0.0080864
0.2 1.3531769 1.3693164 -0.0161395
0.3 2.0250465 2.0491728 -0.0241263
0.4 2.6912748 2.7232886 -0.0320138
0.5 3.3500165 3.3897862 -0.0397697
0.6 3.9994566 4.0468186 -0.047362
0.7 4.6378170 4.6925768 -0.0547598
0.8 5.2633642 5.3252971 -0.0619329
0.9 5.8744160 5.9432679 -0.0688519
1.0 6.4693480 6.5448367 -0.0754887
1.1 7.0466000 7.1284166 -0.0818166
1.2 7.6046826 7.6924925 -0.0878099
1.3 8.1421824 8.2356272 -0.0934448
1.4 8.6577680 8.7564666 -0.0986986
1.5 9.1501945 9.2537454 -0.103551
1.6 9.6183090 9.7262914 -0.107982
1.7 10.0610543 10.1730306 -0.111976
1.8 10.4774732 10.5929906 -0.115517
1.9 10.8667119 10.9853042 -0.118592
2.0 11.2280228 11.3492130 -0.12119
2.1 11.5607673 11.6840692 -0.123302
2.2 11.8644178 11.9893387 -0.124921
2.3 12.1385594 12.2646017 -0.126042
2.4 12.3828908 12.5095546 -0.126664
2.5 12.5972252 12.7240104 -0.126785
2.6 12.7814901 12.9078986 -0.126409
2.7 12.9357271 13.0612651 -0.125538
2.8 13.0600912 13.1842714 -0.12418
2.9 13.1548492 13.2771927 -0.122344
3.0 13.2203779 13.3404167 -0.120039
3.1 13.2571619 13.3744408 -0.117279
3.2 13.2657908 13.3798696 -0.114079
3.3 13.2469560 13.3574112 -0.110455
3.4 13.2014472 13.3078741 -0.106427
3.5 13.1301481 13.2321624 -0.102014
3.6 13.0340323 13.1312721 -0.0972398
3.7 12.9141581 13.0062855 -0.0921274
3.8 12.7716639 12.8583662 -0.0867023
3.9 12.6077621 12.6887536 -0.0809915
4.0 12.4237339 12.4987572 -0.0750233
4.1 12.2209231 12.2897498 -0.0688267
4.2 12.0007296 12.0631618 -0.0624322
4.3 11.7646031 11.8204744 -0.0558713
4.4 11.5140367 11.5632126 -0.0491759
4.5 11.2505595 11.2929384 -0.0423789
4.6 10.9757302 11.0112436 -0.0355134
4.7 10.6911299 10.7197430 -0.0286131
4.8 10.3983549 10.4200668 -0.0217119
4.9 10.0990099 10.1138533 -0.0148434
5.0 9.7947004 9.8027423 -0.0080419
5.1 9.4870264 9.4883672 -0.0013408
5.2 9.1775748 9.1723480 0.0052268
5.3 8.8679128 8.8562849 0.0116279
5.4 8.5595812 8.5417506 0.0178306
5.5 8.2540877 8.2302843 0.0238034
5.6 7.9529006 7.9233846 0.029516
5.7 7.6574428 7.6225038 0.034939
5.8 7.3690857 7.3290415 0.0400442
5.9 7.0891437 7.0443390 0.0448047
6.0 6.8188689 6.7696738 0.0491951
6.1 6.5594461 6.5062547 0.0531914
6.2 6.3119880 6.2552168 0.0567712
6.3 6.0775313 6.0176173 0.059914
6.4 5.8570322 5.7944314 0.0626008
6.5 5.6513636 5.5865490 0.0648146
6.6 5.4613115 5.3947710 0.0665405
6.7 5.2875727 5.2198072 0.0677655
6.8 5.1307521 5.0622735 0.0684786
6.9 4.9913614 4.9226905 0.0686709
7.0 4.8698177 4.8014817 0.068336
7.1 4.7664420 4.6989730 0.067469
