#Theta He10 He15 diff
0.0 0.0000000 0.0000000 0
0.1 1.3398754 1.3337696 0.0061058
0.2 2.6724730 2.6602459 0.0122271
0.3 3.9905708 3.9721917 0.0183791
0.4 5.2870587 5.2624827 0.024576
0.5 6.5549927 6.5241614 0.0308313
0.6 7.7876479 7.7504916 0.0371563
0.7 8.9785704 8.9350095 0.0435609
0.8 10.1216261 10.0715734 0.0500527
0.9 11.2110466 11.1544101 0.0566365
1.0 12.2414733 12.1781585 0.0633148
1.1 13.2079962 13.1379094 0.0700868
1.2 14.1061906 14.0292421 0.0769485
1.3 14.9321486 14.8482558 0.0838928
1.4 15.6825066 15.5915979 0.0909087
1.5 16.3544686 16.2564864 0.0979822
1.6 16.9458239 16.8407284 0.105096
1.7 17.4549607 17.3427336 0.112227
1.8 17.8808743 17.7615218 0.119352
1.9 18.2231704 18.0967266 0.126444
2.0 18.4820629 18.3485931 0.13347
2.1 18.6583675 18.5179711 0.140396
2.2 18.7534898 18.6063026 0.147187
2.3 18.7694082 18.6156051 0.153803
2.4 18.7086531 18.5484502 0.160203
2.5 18.5742811 18.4079368 0.166344
2.6 18.3698447 18.1976613 0.172183
2.7 18.0993585 17.9216830 0.177675
2.8 17.7672618 17.5844863 0.182776
2.9 17.3783777 17.1909388 0.187439
3.0 16.9378693 16.7462480 0.191621
3.1 16.4511934 16.2559137 0.19528
3.2 15.9240523 15.7256797 0.198373
3.3 15.3623436 15.1614828 0.200861
3.4 14.7721091 14.5694017 0.202707
3.5 14.1594827 13.9556040 0.203879
3.6 13.5306380 13.3262933 0.204345
3.7 12.8917363 12.6876571 0.204079
3.8 12.2488750 12.0458145 0.20306
3.9 11.6080367 11.4067654 0.201271
4.0 10.9750406 10.7763410 0.1987
4.1 10.3554952 10.1601563 0.195339
4.2 9.7547536 9.5635655 0.191188
4.3 9.1778708 8.9916191 0.186252
4.4 8.6295655 8.4490249 0.180541
4.5 8.1141834 7.9401121 0.174071
4.6 7.6356660 7.4687993 0.166867
4.7 7.1975215 7.0385662 0.158955
4.8 6.8028015 6.6524297 0.150372
4.9 6.4540809 6.3129243 0.141157
5.0 6.1534424 6.0220866 0.131356
5.1 5.9024664 5.7814457 0.121021
5.2 5.7022239 5.5920163 0.110208
5.3 5.5532759 5.4542983 0.0989776
5.4 5.4556758 5.3682801 0.0873957
