#Theta He10 He15 diff
0.0 0.0000000 0.0000000 0
0.1 1.1934085 1.1892458 0.0041627
0.2 2.3819839 2.3736456 0.0083383
0.3 3.5609208 3.5483814 0.0125394
0.4 4.7254687 4.7086906 0.0167781
0.5 5.8709593 5.8498932 0.0210661
0.6 6.9928332 6.9674188 0.0254144
0.7 8.0866654 8.0568328 0.0298326
0.8 9.1481906 9.1138611 0.0343295
0.9 10.1733274 10.1344149 0.0389125
1.0 11.1582008 11.1146132 0.0435876
1.1 12.0991640 12.0508051 0.0483589
1.2 12.9928186 12.9395897 0.0532289
1.3 13.8360332 13.7778346 0.0581986
1.4 14.6259601 14.5626937 0.0632664
1.5 15.3600509 15.2916215 0.0684294
1.6 16.0360692 15.9623873 0.0736819
1.7 16.6521025 16.5730857 0.0790168
1.8 17.2065712 17.1221469 0.0844243
1.9 17.6982360 17.6083432 0.0898928
2.0 18.1262028 18.0307942 0.0954086
2.1 18.4899261 18.3889705 0.100956
2.2 18.7892097 18.6826934 0.106516
2.3 19.0242051 18.9121344 0.112071
2.4 19.1954088 19.0778113 0.117597
2.5 19.3036561 19.1805827 0.123073
2.6 19.3501137 19.2216401 0.128474
2.7 19.3362705 19.2024983 0.133772
2.8 19.2639254 19.1249837 0.138942
2.9 19.1351748 18.9912209 0.143954
3.0 18.9523965 18.8036169 0.14878
3.1 18.7182337 18.5648445 0.153389
3.2 18.4355763 18.2778237 0.157753
3.3 18.1075409 17.9457017 0.161839
3.4 17.7374506 17.5718312 0.165619
3.5 17.3288117 17.1597487 0.169063
3.6 16.8852916 16.7131506 0.172141
3.7 16.4106938 16.2358689 0.174825
3.8 15.9089340 15.7318464 0.177088
3.9 15.3840142 15.2051113 0.178903
4.0 14.8399978 14.6597513 0.180247
4.1 14.2809831 14.0998873 0.181096
4.2 13.7110781 13.5296480 0.18143
4.3 13.1343745 12.9531433 0.181231
4.4 12.5549226 12.3744394 0.180483
4.5 11.9767060 11.7975334 0.179173
4.6 11.4036180 11.2263290 0.177289
4.7 10.8394377 10.6646130 0.174825
4.8 10.2878077 10.1160324 0.171775
4.9 9.7522125 9.5840731 0.168139
5.0 9.2359585 9.0720396 0.163919
5.1 8.7421550 8.5830357 0.159119
5.2 8.2736965 8.1199476 0.153749
5.3 7.8332476 7.6854274 0.14782
5.4 7.4232277 7.2818793 0.141348
5.5 7.0457995 6.9114469 0.134353
5.6 6.7028575 6.5760027 0.126855
5.7 6.3960199 6.2771391 0.118881
5.8 6.1266209 6.0161619 0.110459
5.9 5.8957064 5.7940852 0.101621
6.0 5.7040306 5.6116285 0.0924021
6.1 5.5520548 5.4692161 0.0828387
6.2 5.4399488 5.3669777 0.0729711
6.3 5.3675931 5.3047517 0.0628414
6.4 5.3345842 5.2820903 0.0524939
6.5 5.3402405 5.2982661 0.0419744
6.6 5.3836117 5.3522809 0.0313308
6.7 5.4634877 5.4428758 0.0206119
6.8 5.5784113 5.5685438 0.0098675
6.9 5.7266912 5.7275428 -0.0008516
7.0 5.9064166 5.9179111 -0.0114945
7.1 6.1154736 6.1374839 -0.0220103
7.2 6.3515624 6.3839105 -0.0323481
7.3 6.6122158 6.6546737 -0.0424579
7.4 6.8948184 6.9471090 -0.0522906
7.5 7.1966274 7.2584254 -0.061798
7.6 7.5147926 7.5857267 -0.0709341
7.7 7.8463788 7.9260329 -0.0796541
7.8 8.1883870 8.2763030 -0.087916
7.9 8.5377766 8.6334567 -0.0956801
8.0 8.8914878 8.9943971 -0.102909
8.1 9.2464633 9.3560329 -0.10957
8.2 9.5996701 9.7153008 -0.115631
8.3 9.9481215 10.0691867 -0.121065
8.4 10.2888973 10.4147473 -0.12585
8.5 10.6191647 10.7491302 -0.129965
8.6 10.9361972 11.0695936 -0.133396
8.7 11.2373938 11.3735253 -0.136132
8.8 11.5202957 11.6584599 -0.138164
8.9 11.7826036 11.9220955 -0.139492
9.0 12.0221918 12.1623085 -0.140117
9.1 12.2371226 12.3771678 -0.140045
9.2 12.4256583 12.5649466 -0.139288
9.3 12.5862718 12.7241334 -0.137862
9.4 12.7176561 12.8534409 -0.135785
9.5 12.8187317 12.9518137 -0.133082
9.6 12.8886521 13.0184337 -0.129782
9.7 12.9268085 13.0527243 -0.125916
9.8 12.9328317 13.0543523 -0.121521
9.9 12.9065931 13.0232288 -0.116636
10.0 12.8482036 12.9595078 -0.111304
10.1 12.7580107 12.8635830 -0.105572
10.2 12.6365942 12.7360832 -0.099489
10.3 12.4847603 12.5778661 -0.0931058
10.4 12.3035337 12.3900103 -0.0864766
10.5 12.0941486 12.1738057 -0.0796571
10.6 11.8580385 11.9307427 -0.0727042
10.7 11.5968235 11.6624999 -0.0656764
10.8 11.3122979 11.3709309 -0.058633
10.9 11.0064157 11.0580490 -0.0516333
11.0 10.6812749 10.7260119 -0.044737
11.1 10.3391016 10.3771049 -0.0380033
11.2 9.9822329 10.0137234 -0.0314905
11.3 9.6130989 9.6383548 -0.0252559
11.4 9.2342046 9.2535599 -0.0193553
11.5 8.8481110 8.8619535 -0.0138425
11.6 8.4574165 8.4661854 -0.0087689
11.7 8.0647370 8.0689206 -0.0041836
11.8 7.6726877 7.6728201 -0.0001324
11.9 7.2838633 7.2805214 0.0033419
12.0 6.9008198 6.8946193 0.0062005
12.1 6.5260557 6.5176478 0.0084079
12.2 6.1619947 6.1520615 0.0099332
12.3 5.8109681 5.8002185 0.0107496
12.4 5.4751988 5.4643639 0.0108349
12.5 5.1567855 5.1466137 0.0101718
12.6 4.8576884 4.8489408 0.0087476
12.7 4.5797157 4.5731610 0.0065547
12.8 4.3245114 4.3209209 0.0035905
12.9 4.0935444 4.0936868 -0.0001424
13.0 3.8880988 3.8927351 -0.0046363
13.1 3.7092656 3.7191441 -0.0098785
13.2 3.5579361 3.5737874 -0.0158513
13.3 3.4347964 3.4573282 -0.0225318
13.4 3.3403239 3.3702162 -0.0298923
13.5 3.2747844 3.3126852 -0.0379008
13.6 3.2382324 3.2847527 -0.0465203
13.7 3.2305108 3.2862207 -0.0557099
13.8 3.2512543 3.3166787 -0.0654244
13.9 3.2998925 3.3755074 -0.0756149
14.0 3.3756554 3.4618845 -0.0862291
14.1 3.4775804 3.5747918 -0.0972114
14.2 3.6045201 3.7130237 -0.108504
14.3 3.7551520 3.8751967 -0.120045
