#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar	#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 9 77.075676 50.743586 2574.911525 77.135748 44.074048 1942.521688 -0.060072 6.66954 632.39	1 9 83.028264 48.587418 2360.737161 82.860967 42.903218 1840.686090 0.167297 5.6842 520.051
2 10 68.480962 49.566149 2456.803084 68.895542 45.109573 2034.873604 -0.41458 4.45658 421.929	2 10 79.097485 48.299376 2332.829770 79.110049 44.645726 1993.240816 -0.012564 3.65365 339.589
3 11 61.744776 47.982946 2302.363129 62.275709 44.726302 2000.442080 -0.530933 3.25664 301.921	3 11 76.023749 47.835328 2288.218576 76.083970 45.247905 2047.372930 -0.060221 2.58742 240.846
4 12 56.456063 46.535188 2165.523766 57.014029 44.004362 1936.383836 -0.557966 2.53083 229.14	4 12 73.769941 47.582686 2264.112048 73.861107 45.646600 2083.612109 -0.091166 1.93609 180.5
5 13 52.554347 45.578162 2077.368881 53.093018 43.515212 1893.573691 -0.538671 2.06295 183.795	5 13 70.908782 47.041235 2212.877828 71.020629 45.517584 2071.850474 -0.111847 1.52365 141.027
6 14 49.342630 44.706482 1998.669495 49.855101 42.976545 1846.983381 -0.512471 1.72994 151.686	6 14 69.583020 47.377232 2244.602120 69.687444 46.114028 2126.503581 -0.104424 1.2632 118.099
7 15 46.979986 44.279569 1960.680191 47.454749 42.785032 1830.558983 -0.474763 1.49454 130.121	7 15 68.554759 46.805393 2190.744831 68.651113 45.757284 2093.729042 -0.096354 1.04811 97.0158
8 16 45.111033 44.017646 1937.553191 45.549179 42.703438 1823.583621 -0.438146 1.31421 113.97	8 16 67.568703 47.376329 2244.516531 67.644447 46.437155 2156.409325 -0.075744 0.939174 88.1072
9 17 43.356809 43.597717 1900.760953 43.766936 42.433475 1800.599765 -0.410127 1.16424 100.161	9 17 66.147212 47.171305 2225.132027 66.219473 46.357321 2149.001179 -0.072261 0.813984 76.1308
10 18 42.097331 43.539043 1895.648266 42.475990 42.486504 1805.102986 -0.378659 1.05254 90.5453	10 18 64.543543 47.458440 2252.303573 64.617660 46.719382 2182.700619 -0.074117 0.739058 69.603
11 19 40.845849 43.276351 1872.842562 41.201061 42.324699 1791.380154 -0.355212 0.951652 81.4624	11 19 63.887595 47.779231 2282.854913 63.941484 47.100020 2218.411924 -0.053889 0.679211 64.443
12 20 39.285174 42.494348 1805.769646 39.628062 41.641110 1733.982005 -0.342888 0.853238 71.7876	12 20 62.335235 47.546712 2260.689812 62.394971 46.933342 2202.738549 -0.059736 0.61337 57.9513
13 21 37.917252 41.847662 1751.226795 38.245243 41.070626 1686.796293 -0.327991 0.777036 64.4305	13 21 61.730580 47.891084 2293.555928 61.780031 47.322355 2239.405285 -0.049451 0.568729 54.1506
14 22 36.736990 41.319890 1707.333294 37.049729 40.606286 1648.870472 -0.312739 0.713604 58.4628	14 22 61.355313 48.214034 2324.593075 61.402871 47.683274 2273.694658 -0.047558 0.53076 50.8984
15 23 34.681685 39.455386 1556.727477 34.997804 38.831006 1507.847015 -0.316119 0.62438 48.8805	15 23 60.133893 47.725197 2277.694449 60.182216 47.243361 2231.935135 -0.048323 0.481836 45.7593
16 24 32.379477 37.126828 1378.401325 32.698783 36.580897 1338.162017 -0.319306 0.545931 40.2393	16 24 60.043465 48.249007 2327.966680 60.086937 47.797037 2284.556701 -0.043472 0.45197 43.41
17 25 30.730356 35.605835 1267.775470 31.041655 35.104354 1232.315684 -0.311299 0.501481 35.4598	17 25 58.421780 47.369177 2243.838901 58.472368 46.959880 2205.230364 -0.050588 0.409297 38.6085
18 26 29.123872 34.084463 1161.750594 29.425750 33.625401 1130.667593 -0.301878 0.459062 31.083	18 26 58.804070 48.261778 2329.199261 58.841595 47.866235 2291.176430 -0.037525 0.395543 38.0228
19 27 27.803360 32.909466 1083.032944 28.097935 32.481780 1055.066010 -0.294575 0.427686 27.9669	19 27 57.289276 47.073121 2215.878749 57.334316 46.716127 2182.396549 -0.04504 0.356994 33.4822
20 28 26.157362 31.192876 972.995533 26.442483 30.805202 948.960462 -0.285121 0.387674 24.0351	20 28 58.054909 48.229011 2326.037489 58.091322 47.879027 2292.401253 -0.036413 0.349984 33.6362
21 29 24.816717 29.789274 887.400837 25.099166 29.430514 866.155159 -0.282449 0.35876 21.2457	21 29 56.352868 46.115575 2126.646228 56.392222 45.803137 2097.927343 -0.039354 0.312438 28.7189
22 30 23.680542 28.498570 812.168511 23.946976 28.164109 793.217059 -0.266434 0.334461 18.9515	22 30 56.441325 47.166445 2224.673559 56.474981 46.858928 2195.759124 -0.033656 0.307517 28.9144
23 31 22.282431 26.809712 718.760653 22.545295 26.507632 702.654578 -0.262864 0.30208 16.1061	23 31 55.730388 46.942160 2203.566369 55.764525 46.647605 2175.999087 -0.034137 0.294555 27.5673
24 32 20.973111 24.166219 584.006160 21.222993 23.904575 571.428729 -0.249882 0.261644 12.5774	24 32 55.877469 47.138441 2222.032621 55.906150 46.861997 2196.046720 -0.028681 0.276444 25.9859
25 33 19.534015 22.112533 488.964130 19.776272 21.874268 478.483582 -0.242257 0.238265 10.4805	25 33 53.684114 45.774685 2095.321831 53.716110 45.504237 2070.635555 -0.031996 0.270448 24.6863
26 34 19.191591 20.723321 429.456026 19.418784 20.495648 420.071571 -0.227193 0.227673 9.38446	26 34 52.799582 45.866479 2103.733906 52.835990 45.609640 2080.239292 -0.036408 0.256839 23.4946
27 35 18.116363 19.291841 372.175126 18.331978 19.073691 363.805672 -0.215615 0.21815 8.36945	27 35 52.441775 45.391408 2060.379914 52.483271 45.159845 2039.411560 -0.041496 0.231563 20.9684
28 36 17.623007 18.468343 341.079706 17.833442 18.255829 333.275281 -0.210435 0.212514 7.80442	28 36 51.912874 45.181837 2041.398411 51.956669 44.945678 2020.114010 -0.043795 0.236159 21.2844
29 37 16.992692 17.467845 305.125620 17.189078 17.266354 298.126974 -0.196386 0.201491 6.99865	29 37 48.243349 43.021879 1850.882080 48.285007 42.818336 1833.409855 -0.041658 0.203543 17.4722
30 38 16.904705 16.813788 282.703482 17.089663 16.618650 276.179513 -0.184958 0.195138 6.52397	30 38 46.260490 42.539013 1809.567593 46.316757 42.348916 1793.430645 -0.056267 0.190097 16.1369
31 39 16.374495 16.009712 256.310886 16.548432 15.822829 250.361929 -0.173937 0.186883 5.94896	31 39 50.057040 41.408399 1714.655518 50.091374 41.253485 1701.850000 -0.034334 0.154914 12.8055
32 40 16.155378 15.818485 250.224452 16.326852 15.636775 244.508728 -0.171474 0.18171 5.71572	32 40 49.218114 42.157657 1777.268062 49.269828 42.020543 1765.726031 -0.051714 0.137114 11.542
33 41 15.771126 15.022544 225.676843 15.927351 14.852176 220.587140 -0.156225 0.170368 5.0897	
34 42 15.265735 14.521770 210.881799 15.414771 14.360850 206.234001 -0.149036 0.16092 4.6478	
35 43 15.176882 14.292564 204.277375 15.322278 14.133158 199.746166 -0.145396 0.159406 4.53121	
36 44 15.853492 14.359869 206.205837 15.982112 14.212775 202.002981 -0.12862 0.147094 4.20286	
37 45 14.998326 13.955768 194.763452 15.137947 13.801546 190.482659 -0.139621 0.154222 4.28079	
38 46 13.640679 13.464693 181.297957 13.785772 13.314142 177.266378 -0.145093 0.150551 4.03158	
39 47 14.136591 12.840149 164.869432 14.265543 12.694578 161.152320 -0.128952 0.145571 3.71711	
40 48 14.067160 12.711811 161.590138 14.191343 12.571807 158.050327 -0.124183 0.140004 3.53981	
41 49 14.639832 13.052354 170.363944 14.760659 12.911069 166.695700 -0.120827 0.141285 3.66824	
42 50 14.364076 12.699724 161.282996 14.473879 12.570046 158.006049 -0.109803 0.129678 3.27695	
