#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar	#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
31 40 20.898894 17.328703 300.283934 21.039736 17.150977 294.156014 -0.140842 0.177726 6.12792	31 40 50.139815 43.639131 1904.373739 50.171987 43.443380 1887.327231 -0.032172 0.195751 17.0465
32 41 20.175403 16.461418 270.978268 20.307353 16.291119 265.400545 -0.13195 0.170299 5.57772	
33 42 20.068758 16.087550 258.809263 20.193051 15.924541 253.591012 -0.124293 0.163009 5.21825	
34 43 19.273807 15.175918 230.308474 19.390320 15.020813 225.624812 -0.116513 0.155105 4.68366	
35 44 18.429070 14.681658 215.551082 18.541810 14.533660 211.227259 -0.11274 0.147998 4.32382	
36 45 18.381997 14.271809 203.684532 18.489078 14.129008 199.628863 -0.107081 0.142801 4.05567	
37 46 18.587597 14.143002 200.024512 18.686285 14.008399 196.235246 -0.098688 0.134603 3.78927	
38 47 17.286416 13.475203 181.581089 17.399519 13.326054 177.583702 -0.113103 0.149149 3.99739	
39 48 16.686352 13.371245 178.790193 16.798534 13.229214 175.012102 -0.112182 0.142031 3.77809	
40 49 18.307894 13.218972 174.741226 18.391326 13.096772 171.525430 -0.083432 0.1222 3.2158	
41 50 18.225907 12.944432 167.558333 18.304671 12.827820 164.552955 -0.078764 0.116612 3.00538	
