#Theta He10 He15 diff
0.0 0.0000000 0.0000000 0
0.1 0.9265363 0.9347640 -0.0082277
0.2 1.8475430 1.8639160 -0.016373
0.3 2.7575388 2.7818930 -0.0243542
0.4 3.6511383 3.6832297 -0.0320914
0.5 4.5230989 4.5626056 -0.0395067
0.6 5.3683663 5.4148921 -0.0465258
0.7 6.1821181 6.2351958 -0.0530777
0.8 6.9598052 7.0189015 -0.0590963
0.9 7.6971904 7.7617111 -0.0645207
1.0 8.3903846 8.4596799 -0.0692953
1.1 9.0358787 9.1092501 -0.0733714
1.2 9.6305729 9.7072796 -0.0767067
1.3 10.1718010 10.2510672 -0.0792662
1.4 10.6573517 10.7383741 -0.0810224
1.5 11.0854846 11.1674402 -0.0819556
1.6 11.4549422 11.5369965 -0.0820543
1.7 11.7649571 11.8462722 -0.0813151
1.8 12.0152551 12.0949978 -0.0797427
1.9 12.2060528 12.2834027 -0.0773499
2.0 12.3380511 12.4122090 -0.0741579
2.1 12.4124244 12.4826199 -0.0701955
2.2 12.4308048 12.4963042 -0.0654994
2.3 12.3952628 12.4553760 -0.0601132
2.4 12.3082833 12.3623711 -0.0540878
2.5 12.1727379 12.2202186 -0.0474807
2.6 11.9918549 12.0322095 -0.0403546
2.7 11.7691841 11.8019626 -0.0327785
2.8 11.5085609 11.5333865 -0.0248256
2.9 11.2140666 11.2306396 -0.016573
3.0 10.8899872 10.8980888 -0.0081016
3.1 10.5407706 10.5402653 0.0005053
3.2 10.1709825 10.1618200 0.0091625
3.3 9.7852620 9.7674782 0.0177838
3.4 9.3882761 9.3619935 0.0262826
3.5 8.9846756 8.9501026 0.034573
3.6 8.5790503 8.5364800 0.0425703
3.7 8.1758863 8.1256944 0.0501919
3.8 7.7795241 7.7221662 0.0573579
3.9 7.3941193 7.3301270 0.0639923
4.0 7.0236047 6.9535815 0.0700232
4.1 6.6716558 6.5962722 0.0753836
4.2 6.3416586 6.2616466 0.080012
4.3 6.0366814 5.9528283 0.0838531
4.4 5.7594495 5.6725911 0.0868584
4.5 5.5123236 5.4233375 0.0889861
4.6 5.2972827 5.2070807 0.090202
4.7 5.1159106 5.0254310 0.0904796
4.8 4.9693866 4.8795860 0.0898006
4.9 4.8584806 4.7703260 0.0881546
5.0 4.7835521 4.6980126 0.0855395
5.1 4.7445538 4.6625923 0.0819615
5.2 4.7410392 4.6636042 0.077435
5.3 4.7721738 4.7001914 0.0719824
5.4 4.8367509 4.7711168 0.0656341
5.5 4.9332103 4.8747825 0.0584278
5.6 5.0596610 5.0092521 0.0504089
