#Theta He10 He15 diff
0.0 0.0000000 0.0000000 0
0.1 4.0987274 4.0745547 0.0241727
0.2 8.1512173 8.1031623 0.048055
0.3 12.1119159 12.0405545 0.0713614
0.4 15.9366251 15.8428104 0.0938147
0.5 19.5831531 19.4680023 0.115151
0.6 23.0119329 22.8768099 0.135123
0.7 26.1865977 26.0330927 0.153505
0.8 29.0745051 28.9044103 0.170095
0.9 31.6472020 31.4624843 0.184718
1.0 33.8808207 33.6835923 0.197228
1.1 35.7564036 35.5488896 0.207514
1.2 37.2601472 37.0446530 0.215494
1.3 38.3835659 38.1624419 0.221124
1.4 39.1235700 38.8991774 0.224393
1.5 39.4824590 39.2571347 0.225324
1.6 39.4678304 39.2438527 0.223978
1.7 39.0924045 38.8719604 0.220444
1.8 38.3737711 38.1589251 0.214846
1.9 37.3340604 37.1267251 0.207335
2.0 35.9995450 35.8014550 0.19809
2.1 34.4001801 34.2128688 0.187311
2.2 32.5690891 32.3938687 0.17522
2.3 30.5420046 30.3799502 0.162054
2.4 28.3566729 28.2086102 0.148063
2.5 26.0522336 25.9187312 0.133502
2.6 23.6685832 23.5499491 0.118634
2.7 21.2457351 21.1420168 0.103718
2.8 18.8231844 18.7341745 0.0890099
2.9 16.4392905 16.3645354 0.0747551
3.0 14.1306854 14.0694985 0.0611869
3.1 11.9317186 11.8831971 0.0485215
3.2 9.8739471 9.8369923 0.0369548
3.3 7.9856783 7.9590187 0.0266596
3.4 6.2915732 6.2737909 0.0177823
3.5 4.8123163 4.8018747 0.0104416
3.6 3.5643558 3.5596299 0.0047259
3.7 2.5597190 2.5590264 0.0006926
3.8 1.8059043 1.8075372 -0.0016329
3.9 1.3058516 1.3081083 -0.0022567
4.0 1.0579891 1.0592061 -0.001217
4.1 1.0563572 1.0549394 0.0014178
4.2 1.2908036 1.2852535 0.0055501
4.3 1.7472478 1.7361931 0.0110547
4.4 2.4080088 2.3902267 0.0177821
4.5 3.2521884 3.2266280 0.0255604
4.6 4.2561052 4.2219062 0.034199
4.7 5.3937682 5.3502763 0.0434919
4.8 6.6373844 6.5841632 0.0532212
4.9 7.9578888 7.8947272 0.0631616
5.0 9.3254878 9.2524040 0.0730838
5.1 10.7102074 10.6274486 0.0827588
5.2 12.0824351 11.9904731 0.091962
5.3 13.4134472 13.3129703 0.100477
5.4 14.6759116 14.5678125 0.108099
5.5 15.8443580 15.7297181 0.11464
5.6 16.8956077 16.7756785 0.119929
5.7 17.8091554 17.6853364 0.123819
5.8 18.5674974 18.4413119 0.126186
5.9 19.1564007 19.0294695 0.126931
6.0 19.5651090 19.4391223 0.125987
6.1 19.7864831 19.6631712 0.123312
6.2 19.8170733 19.6981769 0.118896
6.3 19.6571244 19.5443643 0.11276
6.4 19.3105124 19.2055605 0.104952
6.5 18.7846171 18.6890673 0.0955498
6.6 18.0901319 18.0054731 0.0846588
6.7 17.2408155 17.1684064 0.0724091
6.8 16.2531914 16.1942376 0.0589538
6.9 15.1462003 15.1017336 0.0444667
7.0 13.9408128 13.9116745 0.0291383
7.1 12.6596096 12.6464367 0.0131729
7.2 11.3263383 11.3295529 -0.0032146
7.3 9.9654530 9.9852564 -0.0198034
7.4 8.6016479 8.6380177 -0.0363698
7.5 7.2593913 7.3120831 -0.0526918
7.6 5.9624700 6.0310223 -0.0685523
7.7 4.7335513 4.8172948 -0.0837435
7.8 3.5937718 3.6918419 -0.0980701
7.9 2.5623579 2.6737109 -0.111353
8.0 1.6562878 1.7797202 -0.123432
8.1 0.8899980 1.0241681 -0.13417
8.2 0.2751408 0.4185931 -0.143452
8.3 -0.1796041 -0.0284126 -0.151191
8.4 -0.4686601 -0.3113320 -0.157328
8.5 -0.5896253 -0.4277946 -0.161831
8.6 -0.5432843 -0.3785868 -0.164698
8.7 -0.3335600 -0.1676045 -0.165956
8.8 0.0325920 0.1982527 -0.165661
8.9 0.5453456 0.7092415 -0.163896
9.0 1.1922168 1.3529873 -0.16077
9.1 1.9583257 2.1147431 -0.156417
9.2 2.8266990 2.9776900 -0.150991
9.3 3.7786102 3.9232745 -0.144664
9.4 4.7939478 4.9315737 -0.137626
9.5 5.8516077 5.9816838 -0.130076
9.6 6.9298988 7.0521226 -0.122224
9.7 8.0069572 8.1212393 -0.114282
9.8 9.0611586 9.1676237 -0.106465
9.9 10.0715241 10.1705071 -0.098983
10.0 11.0181084 11.1101476 -0.0920392
10.1 11.8823666 11.9681924 -0.0858258
10.2 12.6474910 12.7280114 -0.0805204
10.3 13.2987124 13.3749949 -0.0762825
10.4 13.8235604 13.8968115 -0.0732511
10.5 14.2120789 14.2836201 -0.0715412
10.6 14.4569922 14.5282338 -0.0712416
10.7 14.5538192 14.6262332 -0.072414
10.8 14.5009345 14.5760254 -0.0750909
10.9 14.2995755 14.3788502 -0.0792747
11.0 13.9537952 14.0387332 -0.084938
11.1 13.4703630 13.5623863 -0.0920233
11.2 12.8586145 12.9590589 -0.100444
11.3 12.1302555 12.2403421 -0.110087
11.4 11.2991210 11.4199310 -0.12081
11.5 10.3808986 10.5133490 -0.13245
11.6 9.3928166 9.5376395 -0.144823
11.7 8.3533073 8.5110320 -0.157725
11.8 7.2816494 7.4525877 -0.170938
11.9 6.1975975 6.3818329 -0.184235
12.0 5.1210049 5.3183861 -0.197381
12.1 4.0714479 4.2815856 -0.210138
12.2 3.0678576 3.2901263 -0.222269
12.3 2.1281669 2.3617100 -0.233543
12.4 1.2689786 1.5127186 -0.24374
12.5 0.5052609 0.7579124 -0.252652
12.6 -0.1499238 0.1101637 -0.260088
12.7 -0.6856529 -0.4197744 -0.265879
12.8 -1.0933351 -0.8234557 -0.269879
12.9 -1.3668567 -1.0948852 -0.271972
13.0 -1.5026805 -1.2306151 -0.272065
13.1 -1.4998952 -1.2297922 -0.270103
13.2 -1.3602147 -1.0941568 -0.266058
13.3 -1.0879287 -0.8279912 -0.259937
13.4 -0.6898038 -0.4380217 -0.251782
13.5 -0.1749401 0.0667254 -0.241665
13.6 0.4454169 0.6751103 -0.229693
13.7 1.1581028 1.3741052 -0.216002
13.8 1.9482953 2.1490532 -0.200758
13.9 2.7998055 2.9839573 -0.184152
14.0 3.6953929 3.8617923 -0.166399
14.1 4.6170982 4.7648342 -0.147736
14.2 5.5465875 5.6750009 -0.128413
14.3 6.4655018 6.5741979 -0.108696
14.4 7.3558041 7.4446608 -0.0888567
14.5 8.2001195 8.2692912 -0.0691717
14.6 8.9820592 9.0319763 -0.0499171
14.7 9.6865253 9.7178891 -0.0313638
14.8 10.2999885 10.3137619 -0.0137734
14.9 10.8107351 10.8081286 0.0026065
15.0 11.2090773 11.1915315 0.0175458
15.1 11.4875253 11.4566891 0.0308362
15.2 11.6409159 11.5986213 0.0422946
15.3 11.6664962 11.6147306 0.0517656
15.4 11.5639627 11.5048378 0.0591249
15.5 11.3354516 11.2711709 0.0642807
15.6 10.9854854 10.9183093 0.0671761
15.7 10.5208728 10.4530837 0.0677891
15.8 9.9505671 9.8844333 0.0661338
15.9 9.2854843 9.2232243 0.06226
16.0 8.5382851 8.4820327 0.0562524
16.1 7.7231255 7.6748961 0.0482294
16.2 6.8553799 6.8170389 0.038341
16.3 5.9513429 5.9245763 0.0267666
16.4 5.0279158 5.0142037 0.0137121
16.5 4.1022821 4.1028757 -0.0005936
16.6 3.1915810 3.2074830 -0.015902
16.7 2.3125818 2.3445314 -0.0319496
16.8 1.4813684 1.5298297 -0.0484613
16.9 0.7130373 0.7781935 -0.0651562
17.0 0.0214170 0.1031676 -0.0817506
17.1 -0.5811884 -0.4832243 -0.0979641
17.2 -1.0842242 -0.9707013 -0.113523
17.3 -1.4790771 -1.3509114 -0.128166
17.4 -1.7592281 -1.6175816 -0.141647
17.5 -1.9203662 -1.7666266 -0.15374
17.6 -1.9604591 -1.7962163 -0.164243
17.7 -1.8797805 -1.7067995 -0.172981
17.8 -1.6808935 -1.5010847 -0.179809
17.9 -1.3685910 -1.1839783 -0.184613
18.0 -0.9497941 -0.7624807 -0.187313
18.1 -0.4334107 -0.2455441 -0.187867
18.2 0.1698434 0.3561071 -0.186264
18.3 0.8476557 1.0301878 -0.182532
18.4 1.5863584 1.7630926 -0.176734
18.5 2.3711937 2.5401606 -0.168967
18.6 3.1865989 3.3459583 -0.159359
18.7 4.0165052 4.1645761 -0.148071
18.8 4.8446447 4.9799330 -0.135288
18.9 5.6548596 5.7760823 -0.121223
19.0 6.4314084 6.5375144 -0.106106
19.1 7.1592622 7.2494489 -0.0901867
19.2 7.8243864 7.8981121 -0.0737257
19.3 8.4140026 8.4709948 -0.0569922
19.4 8.9168246 8.9570835 -0.0402589
19.5 9.3232663 9.3470638 -0.0237975
19.6 9.6256153 9.6334895 -0.0078742
19.7 9.8181711 9.8109162 0.0072549
19.8 9.8973442 9.8759962 0.021348
19.9 9.8617146 9.8275329 0.0341817
20.0 9.7120491 9.6664946 0.0455545
20.1 9.4512774 9.3959871 0.0552903
20.2 9.0844268 9.0211855 0.0632413
20.3 8.6185178 8.5492274 0.0692904
20.4 8.0624223 7.9890694 0.0733529
20.5 7.4266869 7.3513089 0.075378
20.6 6.7233264 6.6479768 0.0753496
20.7 5.9655887 5.8923026 0.0732861
20.8 5.1676988 5.0984583 0.0692405
20.9 4.3445849 4.2812858 0.0632991
21.0 3.5115916 3.4560118 0.0555798
21.1 2.6841874 2.6379573 0.0462301
21.2 1.8776711 1.8422463 0.0354248
21.3 1.1068815 1.0835192 0.0233623
21.4 0.3859184 0.3756567 0.0102617
21.5 -0.2721223 -0.2684810 -0.0036413
21.6 -0.8553922 -0.8372942 -0.018098
21.7 -1.3535110 -1.3206590 -0.032852
21.8 -1.7577567 -1.7101144 -0.0476423
21.9 -2.0612245 -1.9990158 -0.0622087
22.0 -2.2589506 -2.1826545 -0.0762961
22.1 -2.3479983 -2.2583401 -0.0896582
22.2 -2.3275053 -2.2254428 -0.102062
22.3 -2.1986922 -2.0853986 -0.113294
22.4 -1.9648305 -1.8416732 -0.123157
22.5 -1.6311725 -1.4996892 -0.131483
22.6 -1.2048436 -1.0667151 -0.138129
22.7 -0.6946996 -0.5517204 -0.142979
22.8 -0.1111516 0.0348009 -0.145953
22.9 0.5340375 0.6810357 -0.146998
23.0 1.2279819 1.3740814 -0.146099
23.1 1.9569218 2.1001942 -0.143272
23.2 2.7064883 2.8450545 -0.138566
23.3 3.4619784 3.5940401 -0.132062
23.4 4.2086353 4.3325061 -0.123871
23.5 4.9319294 5.0460623 -0.114133
23.6 5.6178329 5.7208466 -0.103014
23.7 6.2530844 6.3437860 -0.0907016
23.8 6.8254382 6.9028424 -0.0774042
23.9 7.3238922 7.3872376 -0.0633454
24.0 7.7388933 7.7876538 -0.0487605
24.1 8.0625125 8.0964053 -0.0338928
24.2 8.2885900 8.3075790 -0.018989
24.3 8.4128454 8.4171405 -0.0042951
