#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar	#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 3 62.122893 47.426651 2249.287223 61.385337 41.635059 1733.478147 0.737556 5.79159 515.809	1 3 52.332129 41.016591 1682.360734 52.024503 35.363407 1250.570572 0.307626 5.65318 431.79
2 4 49.257351 43.837942 1921.765124 49.208716 40.397878 1631.988561 0.048635 3.44006 289.777	2 4 39.330959 36.435485 1327.544558 39.691118 33.413282 1116.447429 -0.360159 3.0222 211.097
3 5 40.699876 40.127801 1610.240408 40.867978 37.850951 1432.694505 -0.168102 2.27685 177.546	3 5 33.035436 34.652673 1200.807776 33.470924 32.745044 1072.237925 -0.435488 1.90763 128.57
4 6 34.490534 36.712478 1347.806029 34.735756 35.094321 1231.611390 -0.245222 1.61816 116.195	4 6 29.320419 33.899585 1149.181867 29.726284 32.528072 1058.075468 -0.405865 1.37151 91.1064
5 7 29.827946 33.731489 1137.813376 30.096259 32.519936 1057.546216 -0.268313 1.21155 80.2672	5 7 26.989731 33.492178 1121.725987 27.361499 32.481400 1055.041345 -0.371768 1.01078 66.6846
6 8 26.257463 31.226910 975.119899 26.525637 30.281203 916.951253 -0.268174 0.945707 58.1686	6 8 25.059555 33.084075 1094.556031 25.393240 32.276931 1041.800265 -0.333685 0.807144 52.7558
7 9 23.495330 29.212712 853.382560 23.752923 28.447336 809.250951 -0.257593 0.765376 44.1316	7 9 23.864195 32.958740 1086.278529 24.167022 32.318256 1044.469668 -0.302827 0.640484 41.8089
8 10 21.385899 27.767614 771.040368 21.627515 27.125419 735.788364 -0.241616 0.642195 35.252	8 10 22.653474 32.615929 1063.798850 22.927666 32.073509 1028.710011 -0.274192 0.54242 35.0888
9 11 19.681506 26.592078 707.138633 19.907428 26.042884 678.231810 -0.225922 0.549194 28.9068	9 11 22.092062 32.614744 1063.721553 22.342595 32.167149 1034.725480 -0.250533 0.447595 28.9961
10 12 18.342052 25.799919 665.635846 18.551739 25.317571 640.979425 -0.209687 0.482348 24.6564	10 12 21.517834 32.880773 1081.145202 21.745063 32.480941 1055.011503 -0.227229 0.399832 26.1337
11 13 17.254473 25.233524 636.730743 17.449183 24.803698 615.223425 -0.19471 0.429826 21.5073	11 13 20.939251 32.627526 1064.555440 21.147519 32.278992 1041.933318 -0.208268 0.348534 22.6221
12 14 16.296713 24.661526 608.190862 16.478897 24.277848 589.413926 -0.182184 0.383678 18.7769	12 14 20.337787 32.697011 1069.094533 20.528892 32.375941 1048.201585 -0.191105 0.32107 20.8929
13 15 15.531632 24.349937 592.919429 15.701355 23.999674 575.984365 -0.169723 0.350263 16.9351	13 15 19.959475 32.587542 1061.947890 20.134370 32.294335 1042.924091 -0.174895 0.293207 19.0238
