 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    9    308.9795      8.3675    3.628680E+01
   10     49.8304     15.0780    6.468136E+00
   11    115.2530     20.0470    1.638497E+01
   12     33.5262     24.3738    5.180716E+00
   13     69.8579     28.3630    1.165856E+01
   14     25.8274     32.1498    4.629607E+00
   15     48.4636     35.8076    9.286303E+00
   16     20.4348     39.3819    4.168212E+00
   17     36.7446     42.9033    7.949266E+00
   18     19.1156     46.3941    4.371748E+00
   19     28.5659     49.8712    6.886174E+00
   20     15.7042     53.3488    3.979836E+00
   21     23.9782     56.8386    6.373097E+00
   22     13.9222     60.3515    3.872450E+00
   23     19.8010     63.8975    5.752418E+00
   24     12.1400     67.4866    3.676887E+00
   25     17.0594     71.1287    5.377735E+00
   26     11.2192     74.8345    3.675388E+00
   27     14.9413     78.6153    5.079448E+00
   28     10.2332     82.4839    3.605386E+00
   29     14.0697     86.4549    5.131004E+00
   30      9.1035     90.5451    3.432446E+00
   31     13.2201     94.7748    5.148026E+00
   32      8.6484     99.1688    3.474678E+00
   33     12.3511    103.7582    5.115003E+00
   34      8.1838    108.5835    3.490355E+00
   35     12.1857    113.6986    5.347789E+00
   36      8.1199    119.1792    3.663861E+00
   37     12.5368    125.1373    5.811837E+00
   38      7.9062    131.7523    3.762911E+00
   39     13.8809    139.3466    6.778134E+00
   40      7.7731    148.6268    3.891748E+00
   41     24.1874    162.0458    1.240888E+01
