 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   25     46.7891     16.8657    1.107276E+01
   26      6.0510     30.0589    1.488141E+00
   27     21.3815     39.5998    5.456849E+00
   28      5.1273     47.7782    1.356141E+00
   29     15.1111     55.2518    4.137035E+00
   30      4.7592     62.3273    1.347116E+00
   31     11.6948     69.1850    3.418806E+00
   32      4.2123     75.9502    1.270497E+00
   33     10.0600     82.7234    3.127619E+00
   34      3.6304     89.5968    1.162371E+00
   35      9.4215     96.6674    3.103984E+00
   36      3.2720    104.0498    1.108351E+00
   37      9.9375    111.8973    3.458434E+00
   38      3.3445    120.4403    1.194987E+00
   39     12.0328    130.0799    4.410978E+00
   40      3.5690    141.6827    1.341444E+00
   41     19.4351    158.2548    7.485244E+00
