 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   25     44.5781     15.7335    9.961530E+00
   26      4.4211     27.9831    1.026693E+00
   27     20.5664     36.8142    4.956274E+00
   28      4.4580     44.3548    1.113395E+00
   29     14.3973     51.2142    3.721923E+00
   30      3.6404     57.6737    9.730009E-01
   31     11.3163     63.8951    3.123772E+00
   32      3.0743     69.9870    8.755762E-01
   33      9.4277     76.0310    2.767674E+00
   34      2.9035     82.0965    8.778195E-01
   35      8.2912     88.2490    2.579349E+00
   36      2.8006     94.5568    8.957942E-01
   37      8.1141    101.0991    2.666465E+00
   38      2.5294    107.9762    8.533802E-01
   39      8.5143    115.3276    2.947205E+00
   40      2.3350    123.3683    8.287170E-01
   41     10.1349    132.4775    3.685801E+00
   42      2.8542    143.4790    1.063011E+00
   43     17.6002    159.2334    6.709207E+00
