 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    6    881.4976      6.2891    8.265231E+01
    7     85.5998     11.5079    9.260928E+00
    8    246.3177     15.4636    3.020195E+01
    9     54.2964     18.9696    7.440723E+00
   10    126.4165     22.2455    1.914757E+01
   11     37.9728     25.3864    6.299281E+00
   12     75.9825     28.4430    1.370074E+01
   13     30.3880     31.4458    5.917747E+00
   14     53.1170     34.4151    1.111020E+01
   15     25.6327     37.3652    5.731213E+00
   16     39.2608     40.3070    9.344662E+00
   17     20.9438     43.2490    5.287058E+00
   18     30.4938     46.1982    8.137739E+00
   19     17.6272     49.1610    4.958365E+00
   20     24.9784     52.1430    7.386505E+00
   21     15.4074     55.1494    4.778464E+00
   22     21.3114     58.1854    6.916956E+00
   23     14.0014     61.2562    4.746351E+00
   24     18.0685     64.3671    6.385703E+00
   25     12.8279     67.5237    4.718634E+00
   26     16.5770     70.7321    6.336834E+00
   27     11.6424     73.9987    4.618444E+00
   28     15.1719     77.3309    6.237425E+00
   29     11.4761     80.7369    4.883564E+00
   30     13.7126     84.2260    6.033095E+00
   31     10.3921     87.8090    4.722091E+00
   32     12.9183     91.4989    6.056326E+00
   33      9.1961     95.3107    4.443948E+00
   34     12.1578     99.2631    6.050546E+00
   35      8.1688    103.3791    4.183185E+00
   36     11.7146    107.6877    6.167950E+00
   37      7.9568    112.2270    4.304178E+00
   38     12.1539    117.0480    6.749893E+00
   39      7.7433    122.2225    4.412083E+00
   40     12.7346    127.8570    7.439793E+00
   41      7.3539    134.1221    4.402368E+00
   42     12.7705    141.3246    7.829199E+00
   43      7.2369    150.1371    4.541113E+00
   44     22.7646    162.8920    1.461304E+01
