 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    3   3484.6527      6.6456    3.795018E+02
    4     89.7754     12.7602    1.257060E+01
    5    487.8347     17.6681    8.348754E+01
    6     41.7344     22.2010    8.440998E+00
    7    174.4043     26.5682    4.070097E+01
    8     25.6866     30.8574    6.793785E+00
    9     95.1537     35.1153    2.812779E+01
   10     22.3217     39.3713    7.292943E+00
   11     60.6832     43.6465    2.171464E+01
   12     17.8239     47.9578    6.932646E+00
   13     42.7189     52.3201    1.794486E+01
   14     14.8510     56.7477    6.700543E+00
   15     34.4381     61.2552    1.660952E+01
   16     14.0740     65.8581    7.225831E+00
   17     28.6958     70.5738    1.562581E+01
   18     13.1483     75.4224    7.568810E+00
   19     24.7950     80.4275    1.504475E+01
   20     12.0456     85.6180    7.683668E+00
   21     21.4319     91.0301    1.433790E+01
   22     11.1982     96.7107    7.840017E+00
   23     20.5745    102.7225    1.504470E+01
   24     10.8494    109.1533    8.271001E+00
   25     20.3368    116.1332    1.613649E+01
   26     11.2727    123.8704    9.295229E+00
   27     21.9507    132.7396    1.878310E+01
   28     11.6428    143.5632    1.032496E+01
   29     31.9680    159.2044    2.934430E+01
