 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   24     47.1707     16.7787    1.095676E+01
   25      6.9737     29.9155    1.685960E+00
   26     21.0043     39.4238    5.277133E+00
   27      6.2287     47.5807    1.623955E+00
   28     14.8106     55.0399    4.001856E+00
   29      5.2007     62.1062    1.454547E+00
   30     11.3823     68.9590    3.291348E+00
   31      4.5333     75.7230    1.353845E+00
   32      9.9899     82.4981    3.078140E+00
   33      3.8898     89.3766    1.235424E+00
   34      9.2527     96.4551    3.026436E+00
   35      3.4303    103.8486    1.154528E+00
   36      9.8797    111.7104    3.418854E+00
   37      3.1764    120.2716    1.129303E+00
   38     11.4520    129.9345    4.180094E+00
   39      3.1319    141.5683    1.172867E+00
   40     19.6993    158.1889    7.563969E+00
