#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 4 65.264063 47.501929 2256.433221 65.055108 41.525055 1724.330167 0.208955 5.97687 532.103
2 5 55.612233 45.916106 2108.288773 55.873536 42.326659 1791.546069 -0.261303 3.58945 316.743
3 6 50.582244 45.492029 2069.524742 50.897850 42.996223 1848.675166 -0.315606 2.49581 220.85
4 7 47.154752 44.854959 2011.967319 47.459359 43.007520 1849.646736 -0.304607 1.84744 162.321
5 8 45.357186 45.364534 2057.940906 45.625886 43.878091 1925.286835 -0.2687 1.48644 132.654
6 9 43.730489 45.037143 2028.344262 43.970452 43.841568 1922.083047 -0.239963 1.19557 106.261
7 10 42.637902 45.179197 2041.159799 42.860283 44.182493 1952.092650 -0.222381 0.996704 89.0671
