 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    6    321.6321      3.3098    1.578718E+01
    7     34.6860      6.0466    1.964479E+00
    8     76.1408      8.1158    4.887291E+00
    9     14.7359      9.9442    1.057139E+00
   10     29.7953     11.6466    2.362484E+00
   11      9.6558     13.2723    8.385288E-01
   12     15.7594     14.8473    1.487584E+00
   13      6.3345     16.3870    6.457702E-01
   14     10.1844     17.9013    1.115155E+00
   15      4.5760     19.3970    5.356111E-01
   16      7.3461     20.8788    9.153194E-01
   17      3.3073     22.3503    4.370625E-01
   18      5.5518     23.8142    7.755993E-01
   19      2.4892     25.2727    3.665441E-01
   20      4.3009     26.7274    6.658020E-01
   21      2.0030     28.1798    3.252006E-01
   22      3.4975     29.6310    5.942540E-01
   23      1.6206     31.0821    2.875912E-01
   24      2.7925     32.5339    5.166437E-01
   25      1.3510     33.9874    2.601521E-01
   26      2.2425     35.4431    4.487559E-01
   27      1.1674     36.9017    2.424288E-01
   28      1.8125     38.3638    3.900810E-01
   29      0.9495     39.8301    2.115187E-01
   30      1.4999     41.3010    3.454570E-01
   31      0.6715     42.7770    1.597307E-01
   32      1.2344     44.2588    3.029501E-01
   33      0.4056     45.7468    1.026064E-01
   34      0.8909     47.2415    2.321026E-01
   35      0.2060     48.7433    5.522395E-02
   36      0.6047     50.2529    1.666728E-01
   37      0.1003     51.7707    2.840299E-02
   38      0.4395     53.2973    1.277766E-01
   39      0.0639     54.8331    1.906030E-02
   40      0.3315     56.3787    1.013842E-01
   41      0.0462     57.9347    1.447845E-02
   42      0.2301     59.5017    7.384778E-02
   43      0.0302     61.0802    9.920375E-03
   44      0.1524     62.6710    5.121260E-02
   45      0.0185     64.2747    6.356455E-03
   46      0.1290     65.8919    4.529753E-02
   47      0.0103     67.5235    3.694560E-03
   48      0.1020     69.1702    3.735715E-02
   49      0.0046     70.8328    1.719471E-03
   50      0.0499     72.5123    1.902934E-02
   51      0.0017     74.2095    6.611318E-04
   52      0.0163     75.9255    6.462176E-03
   53      0.0006     77.6613    2.424024E-04
   54      0.0063     79.4182    2.592799E-03
   55      0.0002     81.1973    8.382139E-05
   56      0.0023     83.0000    9.813144E-04
   57      0.0000     84.8277    0.000000E+00
   58      0.0004     86.6822    1.767045E-04
   59      0.0000     88.5651    0.000000E+00
   60      0.0000     90.4783    0.000000E+00
   61      0.0000     92.4239    0.000000E+00
   62      0.0001     94.4044    4.719673E-05
   63      0.0000     96.4222    0.000000E+00
   64      0.0000     98.4802    0.000000E+00
   65      0.0000    100.5818    0.000000E+00
   66      0.0000    102.7306    0.000000E+00
   67      0.0000    104.9308    0.000000E+00
   68      0.0000    107.1871    0.000000E+00
   69      0.0000    109.5051    0.000000E+00
   70      0.0000    111.8911    0.000000E+00
   71      0.0000    114.3528    0.000000E+00
   72      0.0000    116.8991    0.000000E+00
   73      0.0000    119.5409    0.000000E+00
   74      0.0000    122.2913    0.000000E+00
   75      0.0000    125.1669    0.000000E+00
   76      0.0000    128.1887    0.000000E+00
   77      0.0000    131.3840    0.000000E+00
   78      0.0000    134.7898    0.000000E+00
   79      0.0000    138.4581    0.000000E+00
   80      0.0000    142.4658    0.000000E+00
   81      0.0000    146.9363    0.000000E+00
   82      0.0000    152.0915    0.000000E+00
   83      0.0000    158.4168    0.000000E+00
   84      0.0000    167.5885    0.000000E+00
