 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    4    112.1149     28.1255    5.111704E+01
    5      0.0602     55.4624    3.354664E-02
    6     28.0985     79.1066    1.850488E+01
    7      0.0123    104.5945    9.346654E-03
    8     19.0767    139.1066    1.642903E+01
