 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   12     44.3109      5.8376    3.454639E+00
   13      6.0017     10.4072    5.053476E-01
   14     14.1271     13.7319    1.277624E+00
   15      2.5153     16.5808    2.431664E-01
   16      7.6329     19.1691    7.855171E-01
   17      1.5477     21.5929    1.689301E-01
   18      4.9749     23.9043    5.740348E-01
   19      1.0768     26.1349    1.309640E-01
   20      3.7298     28.3060    4.768936E-01
   21      0.7709     30.4321    1.033757E-01
   22      2.8245     32.5241    3.963750E-01
   23      0.5769     34.5901    8.455719E-02
   24      2.2470     36.6365    3.433613E-01
   25      0.4612     38.6686    7.335194E-02
   26      1.8820     40.6905    3.110625E-01
   27      0.3863     42.7059    6.625818E-02
   28      1.5443     44.7178    2.745103E-01
   29      0.3130     46.7289    5.759019E-02
   30      1.1397     48.7417    2.168066E-01
   31      0.2186     50.7585    4.294799E-02
   32      0.8253     52.7812    1.672928E-01
   33      0.1248     54.8118    2.607603E-02
   34      0.6148     56.8522    1.322925E-01
   35      0.0679     58.9041    1.503420E-02
   36      0.4293     60.9695    9.773180E-02
   37      0.0457     63.0500    1.068882E-02
   38      0.3217     65.1475    7.724919E-02
   39      0.0347     67.2639    8.548870E-03
   40      0.2696     69.4010    6.810156E-02
   41      0.0256     71.5610    6.626286E-03
   42      0.2304     73.7458    6.107360E-02
   43      0.0183     75.9577    4.965037E-03
   44      0.1902     78.1993    5.279012E-02
   45      0.0126     80.4729    3.575725E-03
   46      0.1365     82.7816    3.958838E-02
   47      0.0085     85.1284    2.518226E-03
   48      0.1086     87.5167    3.285139E-02
   49      0.0052     89.9503    1.605427E-03
   50      0.0971     92.4336    3.058389E-02
   51      0.0025     94.9713    8.030256E-04
   52      0.0608     97.5689    1.990880E-02
   53      0.0009    100.2326    3.003160E-04
   54      0.0233    102.9699    7.920171E-03
   55      0.0003    105.7893    1.038476E-04
   56      0.0078    108.7009    2.748686E-03
   57      0.0001    111.7170    3.586328E-05
   58      0.0031    114.8525    1.131097E-03
   59      0.0000    118.1259    0.000000E+00
   60      0.0007    121.5609    2.641408E-04
   61      0.0000    125.1882    0.000000E+00
   62      0.0001    129.0495    3.898182E-05
   63      0.0000    133.2030    0.000000E+00
   64      0.0001    137.7352    4.022924E-05
   65      0.0000    142.7850    0.000000E+00
   66      0.0001    148.6015    4.147666E-05
   67      0.0000    155.7308    0.000000E+00
   68      0.0001    166.0604    4.272408E-05
