 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    8     57.5054     12.5288    1.102078E+01
    9      0.1380     22.7865    2.955885E-02
   10     16.1874     30.4925    3.832227E+00
   11      0.0749     37.3058    1.942068E-02
   12      7.4744     43.6889    2.106547E+00
   13      0.0429     49.8519    1.305798E-02
   14      4.1907     55.9163    1.370059E+00
   15      0.0269     61.9647    9.400887E-03
   16      2.6970     68.0620    1.003344E+00
   17      0.0179     74.2665    7.062784E-03
   18      1.9956     80.6365    8.323961E-01
   19      0.0124     87.2369    5.451815E-03
   20      1.5935     94.1467    7.365305E-01
   21      0.0088    101.4699    4.265854E-03
   22      1.4670    109.3551    7.442134E-01
   23      0.0059    118.0353    3.126113E-03
   24      1.5426    127.9255    8.521268E-01
   25      0.0034    139.9321    1.954807E-03
   26      2.4392    157.2135    1.457398E+00
