 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   32      2.9990     11.4218    4.914018E-01
   33      0.0303     20.1261    5.117577E-03
   34      1.2517     26.3074    2.177190E-01
   35      0.0190     31.4967    3.400626E-03
   36      0.7618     36.1319    1.401880E-01
   37      0.0166     40.4120    3.138458E-03
   38      0.5391     44.4475    1.046422E-01
   39      0.0134     48.3075    2.668571E-03
   40      0.4128     52.0391    8.428914E-02
   41      0.0098     55.6766    2.050459E-03
   42      0.3184     59.2461    6.822427E-02
   43      0.0066     62.7682    1.447472E-03
   44      0.2535     66.2604    5.687415E-02
   45      0.0043     69.7377    9.864084E-04
   46      0.2234     73.2134    5.237367E-02
   47      0.0029     76.7002    6.944940E-04
   48      0.1932     80.2102    4.724173E-02
   49      0.0018     83.7555    4.492154E-04
   50      0.1279     87.3486    3.256408E-02
   51      0.0009     91.0029    2.336827E-04
   52      0.0566     94.7332    1.498141E-02
   53      0.0003     98.5562    8.091927E-05
   54      0.0181    102.4914    4.973384E-03
   55      0.0001    106.5623    2.798143E-05
   56      0.0062    110.7978    1.766107E-03
   57      0.0000    115.2352    0.000000E+00
   58      0.0024    119.9239    7.078545E-04
   59      0.0000    124.9327    0.000000E+00
   60      0.0007    130.3631    2.135160E-04
   61      0.0000    136.3770    0.000000E+00
   62      0.0002    143.2650    6.302124E-05
   63      0.0000    151.6636    0.000000E+00
   64      0.0002    163.7791    6.503792E-05
