 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   13     33.4184     10.8934    5.524914E+00
   14      0.1130     19.4705    2.006562E-02
   15     13.5782     25.7302    2.577389E+00
   16      0.1003     31.1201    2.026707E-02
   17      8.3083     36.0479    1.780559E+00
   18      0.0864     40.6971    1.957454E-02
   19      5.6461     45.1695    1.348309E+00
   20      0.0727     49.5294    1.825133E-02
   21      4.1347     53.8212    1.088651E+00
   22      0.0600     58.0784    1.653255E-02
   23      3.0902     62.3278    8.893252E-01
   24      0.0486     66.5925    1.458171E-02
   25      2.4233     70.8934    7.567519E-01
   26      0.0387     75.2509    1.255923E-02
   27      1.9738     79.6855    6.647249E-01
   28      0.0302     84.2196    1.054042E-02
   29      1.6518     88.8779    5.967406E-01
   30      0.0231     93.6893    8.628155E-03
   31      1.4592     98.6892    5.629003E-01
   32      0.0172    103.9219    6.845701E-03
   33      1.3065    109.4462    5.359945E-01
   34      0.0123    115.3434    5.196732E-03
   35      1.2338    121.7330    5.363883E-01
   36      0.0081    128.8054    3.620629E-03
   37      1.3364    136.9024    6.137251E-01
   38      0.0044    146.7726    2.074529E-03
   39      2.1930    161.0162    1.060820E+00
