 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   17     21.0197     11.6064    3.639299E+00
   18      0.1115     20.6420    2.040797E-02
   19      8.5141     27.1746    1.642580E+00
   20      0.0889     32.7535    1.803054E-02
   21      5.3263     37.8180    1.132967E+00
   22      0.0690     42.5669    1.535977E-02
   23      3.6626     47.1108    8.515508E-01
   24      0.0553     51.5196    1.340431E-02
   25      2.7311     55.8417    6.890187E-01
   26      0.0453     60.1135    1.187674E-02
   27      2.1134     64.3638    5.749997E-01
   28      0.0366     68.6172    1.031999E-02
   29      1.6936     72.8959    4.942948E-01
   30      0.0291     77.2211    8.781042E-03
   31      1.4290     81.6141    4.453444E-01
   32      0.0227     86.0975    7.298984E-03
   33      1.2033     90.6963    3.988154E-01
   34      0.0173     95.4395    5.904980E-03
   35      1.0446    100.3621    3.668864E-01
   36      0.0127    105.5079    4.586166E-03
   37      0.9648    110.9348    3.579495E-01
   38      0.0088    116.7226    3.351943E-03
   39      0.9461    122.9882    3.697323E-01
   40      0.0055    129.9181    2.203794E-03
   41      1.0275    137.8465    4.218744E-01
   42      0.0028    147.5048    1.177335E-03
   43      1.5855    161.4334    6.823524E-01
