 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   13     56.7252      5.5140    4.421661E+00
   14      6.3669      9.8082    5.330545E-01
   15     25.5847     12.9207    2.289748E+00
   16      3.1312     15.5784    2.983117E-01
   17     15.7715     17.9856    1.593627E+00
   18      2.1341     20.2336    2.279618E-01
   19      9.9806     22.3718    1.123743E+00
   20      1.4846     24.4306    1.757272E-01
   21      6.8579     26.4300    8.513442E-01
   22      1.1157     28.3840    1.449458E-01
   23      5.0775     30.3029    6.889590E-01
   24      0.8703     32.1944    1.231149E-01
   25      3.6348     34.0645    5.351756E-01
   26      0.6814     35.9182    1.042614E-01
   27      2.5631     37.7593    4.069807E-01
   28      0.5440     39.5912    8.951985E-02
   29      1.9313     41.4166    3.289632E-01
   30      0.4313     43.2381    7.595474E-02
   31      1.6060     45.0578    2.921001E-01
   32      0.3155     46.8775    5.920499E-02
   33      1.3612     48.6990    2.632948E-01
   34      0.2073     50.5241    4.129467E-02
   35      1.0811     52.3540    2.216000E-01
   36      0.1244     54.1904    2.621735E-02
   37      0.9187     56.0345    1.989210E-01
   38      0.0693     57.8878    1.540528E-02
   39      0.8270     59.7515    1.886159E-01
   40      0.0390     61.6270    9.120008E-03
   41      0.6104     63.5155    1.462643E-01
   42      0.0254     65.4185    6.233016E-03
   43      0.3629     67.3373    9.114898E-02
   44      0.0175     69.2733    4.496490E-03
   45      0.2218     71.2281    5.827047E-02
   46      0.0109     73.2031    2.926544E-03
   47      0.1361     75.2001    3.732736E-02
   48      0.0064     77.2208    1.792245E-03
   49      0.0782     79.2671    2.235052E-02
   50      0.0036     81.3409    1.049710E-03
   51      0.0554     83.4446    1.647375E-02
   52      0.0017     85.5803    5.153281E-04
   53      0.0363     87.7509    1.121337E-02
   54      0.0006     89.9591    1.888093E-04
   55      0.0140     92.2082    4.486386E-03
   56      0.0001     94.5017    3.262301E-05
   57      0.0026     96.8436    8.632106E-04
   58      0.0000     99.2385    0.000000E+00
   59      0.0003    101.6915    1.030656E-04
   60      0.0000    104.2087    0.000000E+00
   61      0.0001    106.7969    3.551000E-05
   62      0.0000    109.4642    0.000000E+00
   63      0.0001    112.2204    3.666480E-05
   64      0.0000    115.0770    0.000000E+00
   65      0.0001    118.0483    3.781960E-05
   66      0.0000    121.1519    0.000000E+00
   67      0.0000    124.4103    0.000000E+00
   68      0.0000    127.8528    0.000000E+00
   69      0.0000    131.5190    0.000000E+00
   70      0.0000    135.4644    0.000000E+00
   71      0.0000    139.7716    0.000000E+00
   72      0.0000    144.5725    0.000000E+00
   73      0.0000    150.1047    0.000000E+00
   74      0.0000    156.8879    0.000000E+00
   75      0.0000    166.7186    0.000000E+00
