j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
02 30 16 10.4019 33.9019 23.500000000000000 0.79095314977755193 7.909531E-01 18.3746
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
04 32 18 11.0292 24.7292 13.700000000000001 0.77404326068851925 7.740433E-01 16.3881
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
06 34 20 10.2596 20.0596 9.8000000000000007 0.76872604224196162 7.687260E-01 14.7893
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
08 36 22 9.4959 17.0959 7.6000000000000005 0.77120370082192180 7.712037E-01 13.4747
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
10 38 24 8.3998 14.9998 6.6000000000000005 0.84970944188369579 8.497094E-01 12.3747
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
12 40 26 7.9177 13.4177 5.5000000000000009 0.80185596656173497 8.018560E-01 11.4408
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
14 42 28 7.2703 12.1703 4.9000000000000004 0.98221049191786880 9.822105E-01 10.6379
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
16 44 30 6.8557 11.1557 4.3000000000000007 0.74370468391025402 7.437047E-01 9.94035
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
18 46 32 6.6108 10.3108 3.7000000000000002 0.79540969117050953 7.954097E-01 9.32864
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
20 48 34 6.0941 9.5941 3.5000000000000000 0.65457888536891251 6.545789E-01 8.78785
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
22 50 36 5.677 8.9770 3.3000000000000003 0.77341165739085016 7.734117E-01 8.30632
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
01 29 15 6.6119 44.0119 37.399999999999999 0.80079977625196619 8.007998E-01 19.56
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
02 30 16 10.4019 33.9019 23.500000000000000 0.79095314977755193 7.909531E-01 18.3746
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
03 31 17 11.1718 28.3718 17.199999999999999 0.77955211790960766 7.795521E-01 17.3246
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
04 32 18 11.0292 24.7292 13.700000000000001 0.77404326068851925 7.740433E-01 16.3881
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
05 33 19 10.6893 22.0893 11.400000000000000 0.76563196451874316 7.656320E-01 15.5477
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
06 34 20 10.2596 20.0596 9.8000000000000007 0.76872604224196162 7.687260E-01 14.7893
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
07 35 21 9.9349 18.4349 8.5000000000000000 0.74192883004743304 7.419288E-01 14.1014
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
08 36 22 9.4959 17.0959 7.6000000000000005 0.77120370082192180 7.712037E-01 13.4747
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
09 37 23 9.0675 15.9675 6.9000000000000004 0.73716872015657608 7.371687E-01 12.9013
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
10 38 24 8.3998 14.9998 6.6000000000000005 0.84970944188369579 8.497094E-01 12.3747
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
11 39 25 8.2582 14.1582 5.9000000000000004 0.74365239890900714 7.436524E-01 11.8894
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
12 40 26 7.9177 13.4177 5.5000000000000009 0.80185596656173497 8.018560E-01 11.4408
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
13 41 27 7.6597 12.7597 5.1000000000000005 0.77705504935467351 7.770550E-01 11.0248
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
14 42 28 7.2703 12.1703 4.9000000000000004 0.98221049191786880 9.822105E-01 10.6379
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
15 43 29 6.8385 11.6385 4.8000000000000007 0.93777107812921157 9.377711E-01 10.2773
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
16 44 30 6.8557 11.1557 4.3000000000000007 0.74370468391025402 7.437047E-01 9.94035
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
17 45 31 6.715 10.7150 4.0000000000000009 0.76783357934452567 7.678336E-01 9.62479
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
18 46 32 6.6108 10.3108 3.7000000000000002 0.79540969117050953 7.954097E-01 9.32864
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
19 47 33 6.3384 9.9384 3.6000000000000001 0.84641953080935139 8.464195E-01 9.05017
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
20 48 34 6.0941 9.5941 3.5000000000000000 0.65457888536891251 6.545789E-01 8.78785
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
21 49 35 5.9745 9.2745 3.3000000000000003 0.75946284000698416 7.594628E-01 8.5403
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
22 50 36 5.677 8.9770 3.3000000000000003 0.77341165739085016 7.734117E-01 8.30632
