 # List of d(q) for j, j' =           35          36
 #    0  1.00000000
 #    1  0.86558918
 #    2  0.81270144
 #    3  0.79170025
 #    4  0.77798223
 #    5  0.75166984
 #    6  0.74157812
 #    7  0.72588465
 #    8  0.71606709
 #    9  0.70130342
 #   10  0.69052790
 #   11  0.67707123
 #   12  0.66640350
 #   13  0.65234300
 #   14  0.64288059
 #   15  0.62971640
 #   16  0.61888651
 #   17  0.60707461
 #   18  0.59684860
 #   19  0.58423903
 #   20  0.57403755
 #   21  0.56224746
 #   22  0.55221134
 #   23  0.54036772
 #   24  0.52983779
 #   25  0.51818876
 #   26  0.50782265
 #   27  0.49638954
 #   28  0.48645432
 #   29  0.47492283
 #   30  0.46486208
 #   31  0.45390128
 #   32  0.44389182
 #   33  0.43292146
 #   34  0.42313045
 #   35  0.41267589
 #   36  0.40272068
 #   37  0.39243499
 #   38  0.38272527
 #   39  0.37261188
 #   40  0.36310003
 #   41  0.35299566
 #   42  0.34370732
 #   43  0.33376739
 #   44  0.32445056
 #   45  0.31466385
 #   46  0.30544730
 #   47  0.29571562
 #   48  0.28650028
 #   49  0.27685760
 #   50  0.26751118
 #   51  0.25807820
 #   52  0.24844638
 #   53  0.23915299
 #   54  0.22936380
 #   55  0.21982675
 #   56  0.20999181
 #   57  0.20041122
 #   58  0.19035520
 #   59  0.18048498
 #   60  0.17005732
 #   61  0.15962372
 #   62  0.14896001
 #   63  0.13801456
 #   64  0.12693685
 #   65  0.11526805
 #   66  0.10307953
 #   67  0.09035812
 #   68  0.07700467
 #   69  0.06072302
 #   70  0.04616552
       0.0 100239.9948177      0.0000000
       0.1 100110.2963048    174.7253399
       0.2  99721.9895730    348.0947040
       0.3  99077.4346042    518.7658641
       0.4  98180.5432993    685.4239290
       0.5  97036.7475889    846.7946225
       0.6  95652.9552133   1001.6570971
       0.7  94037.4935914   1148.8561378
       0.8  92200.0423107   1287.3136180
       0.9  90151.5548779   1416.0390786
       1.0  87904.1704683   1534.1393105
       1.1  85471.1165066   1640.8268360
       1.2  82866.6029936   1735.4271942
       1.3  80105.7095698   1817.3849541
       1.4  77204.2663694   1886.2683901
       1.5  74178.7297718   1941.7727748
       1.6  71046.0542005   1983.7222581
       1.7  67823.5611485   2012.0703198
       1.8  64528.8066284   2026.8987986
       1.9  61179.4482496   2028.4155204
       2.0  57793.1131214   2016.9505608
       2.1  54387.2677613   1992.9511972
       2.2  50979.0911562   1956.9756188
       2.3  47585.3520872   1909.6854776
       2.4  44222.2917720   1851.8373774
       2.5  40905.5128201   1784.2734091
       2.6  37649.8754211   1707.9108518
       2.7  34469.4016104   1623.7311680
       2.8  31377.1883617   1532.7684283
       2.9  28385.3301686   1436.0973083
       3.0  25504.8516710   1334.8208010
       3.1  22745.6507783   1230.0577947
       3.2  20116.4526367   1122.9306613
       3.3  17624.7746698   1014.5530043
       3.4  15276.9028177    906.0177056
       3.5  13077.8789827    798.3854121
       3.6  11031.4995818    692.6735899
       3.7   9140.3249989    589.8462704
       3.8   7405.6996235    490.8045992
       3.9   5827.7820660    396.3782912
       4.0   4405.5850433    307.3180774
       4.1   3137.0243451    224.2892235
