#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 16 87.645189 47.876827 2292.190531 87.478716 42.387746 1796.721012 0.166473 5.48908 495.47
2 17 86.021890 47.649321 2270.457793 85.913933 44.186557 1952.451786 0.107957 3.46276 318.006
3 18 84.002150 47.111174 2219.462743 83.989540 44.636526 1992.419440 0.01261 2.47465 227.043
4 19 82.923802 47.135544 2221.759515 82.896494 45.234839 2046.190633 0.027308 1.90071 175.569
5 20 80.578803 46.897965 2199.419143 80.589249 45.346315 2056.288313 -0.010446 1.55165 143.131
6 21 79.909953 47.391598 2245.963529 79.903866 46.075184 2122.922540 0.006087 1.31641 123.041
7 22 76.763698 47.310396 2238.273600 76.792910 46.189549 2133.474442 -0.029212 1.12085 104.799
8 23 76.086667 47.406566 2247.382478 76.111269 46.427152 2155.480472 -0.024602 0.979414 91.902
9 24 74.356302 47.388179 2245.639475 74.379718 46.540869 2166.052481 -0.023416 0.84731 79.587
10 25 73.813706 47.310391 2238.273111 73.825691 46.535886 2165.588704 -0.011985 0.774505 72.6844
11 26 71.880172 47.522685 2258.405608 71.904079 46.828885 2192.944424 -0.023907 0.6938 65.4612
12 27 70.748703 47.235472 2231.189858 70.770170 46.608001 2172.305765 -0.021467 0.627471 58.8841
13 28 69.010973 47.234260 2231.075292 69.031544 46.652570 2176.462315 -0.020571 0.58169 54.613
14 29 68.096528 47.353456 2242.349801 68.107316 46.795691 2189.836686 -0.010788 0.557765 52.5131
15 30 67.370658 47.475709 2253.942946 67.385128 46.960932 2205.329101 -0.01447 0.514777 48.6138
16 31 68.220481 48.111402 2314.707040 68.232705 47.634404 2269.036454 -0.012224 0.476998 45.6706
17 32 65.657530 47.903854 2294.779197 65.687581 47.432713 2249.862239 -0.030051 0.471141 44.917
18 33 67.363937 48.553878 2357.479034 67.375952 48.092288 2312.868206 -0.012015 0.46159 44.6108
19 34 65.890536 48.147405 2318.172636 65.909223 47.721362 2277.328425 -0.018687 0.426043 40.8442
20 35 67.764305 48.556095 2357.694346 67.769656 48.148686 2318.295925 -0.005351 0.407409 39.3984
21 36 62.727054 47.904249 2294.817079 62.772455 47.491658 2255.457592 -0.045401 0.412591 39.3595
22 37 62.842737 47.557226 2261.689723 62.882735 47.180984 2226.045246 -0.039998 0.376242 35.6445
23 38 59.725051 47.003606 2209.338941 59.786637 46.672636 2178.334958 -0.061586 0.33097 31.004
24 39 60.061060 46.526109 2164.678779 60.102956 46.197030 2134.165611 -0.041896 0.329079 30.5132
25 40 55.897367 45.601661 2079.511493 55.956187 45.288447 2051.043471 -0.05882 0.313214 28.468
