#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 15 86.301463 47.275605 2234.982791 86.201604 41.991011 1763.245029 0.099859 5.28459 471.738
2 16 83.407782 47.332845 2240.398210 83.414793 43.964209 1932.851680 -0.007011 3.36864 307.547
3 17 82.001789 46.713573 2182.157872 82.026014 44.333375 1965.448153 -0.024225 2.3802 216.71
4 18 80.787070 47.310880 2238.319368 80.806851 45.402623 2061.398163 -0.019781 1.90826 176.921
5 19 79.556265 47.025222 2211.371501 79.590161 45.500045 2070.254134 -0.033896 1.52518 141.117
6 20 78.451575 47.919142 2296.244128 78.476103 46.596801 2171.261866 -0.024528 1.32234 124.982
7 21 76.590019 47.455191 2251.995155 76.622387 46.317887 2145.346665 -0.032368 1.1373 106.648
8 22 75.494045 48.350596 2337.780141 75.522580 47.326789 2239.825000 -0.028535 1.02381 97.9551
9 23 75.154151 47.941528 2298.390087 75.165414 47.026686 2211.509158 -0.011263 0.914842 86.8809
10 24 73.924773 48.877982 2389.057102 73.948226 48.050195 2308.821222 -0.023453 0.827787 80.2359
11 25 72.376989 48.078184 2311.511768 72.405707 47.336590 2240.752769 -0.028718 0.741594 70.759
12 26 71.976867 48.872053 2388.477563 72.004094 48.185748 2321.866264 -0.027227 0.686305 66.6113
13 27 71.403390 48.025401 2306.439117 71.425570 47.395167 2246.301809 -0.02218 0.630234 60.1373
14 28 71.004409 48.754211 2376.973118 71.025877 48.172713 2320.610281 -0.021468 0.581498 56.3628
15 29 70.262754 48.172773 2320.616052 70.281541 47.638748 2269.450345 -0.018787 0.534025 51.1657
16 30 68.928174 48.255218 2328.566036 68.946288 47.743011 2279.395123 -0.018114 0.512207 49.1709
17 31 67.720514 48.071333 2310.853069 67.738477 47.590242 2264.831100 -0.017963 0.481091 46.022
18 32 66.456904 47.934335 2297.700470 66.474309 47.483055 2254.640537 -0.017405 0.45128 43.0599
19 33 65.995820 47.712230 2276.456884 66.015341 47.301108 2237.394807 -0.019521 0.411122 39.0621
20 34 62.744720 47.117555 2220.063995 62.780225 46.718545 2182.622410 -0.035505 0.39901 37.4416
21 35 60.642637 46.345829 2147.935867 60.684357 45.976490 2113.837664 -0.04172 0.369339 34.0982
22 36 62.639517 47.802208 2285.051094 62.678991 47.441523 2250.698057 -0.039474 0.360685 34.353
23 37 62.505306 46.967082 2205.906751 62.542513 46.637491 2175.055610 -0.037207 0.329591 30.8511
24 38 55.007289 45.720048 2090.322765 55.078470 45.404732 2061.589687 -0.071181 0.315316 28.7331
25 39 60.413014 46.656784 2176.855521 60.457596 46.365489 2149.758589 -0.044582 0.291295 27.0969
26 40 61.259874 47.097345 2218.159881 61.305103 46.840690 2194.050264 -0.045229 0.256655 24.1096
