#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 14 86.142145 47.982671 2302.336743 86.015117 42.463801 1803.174398 0.127028 5.51887 499.162
2 15 83.862939 47.956755 2299.850321 83.814210 44.311625 1963.520119 0.048729 3.64513 336.33
3 16 83.163960 48.243986 2327.482197 83.126853 45.639787 2082.990130 0.037107 2.6042 244.492
4 17 81.497956 47.866285 2291.181201 81.496690 45.882006 2105.158481 0.001266 1.98428 186.023
5 18 80.570208 47.552868 2261.275229 80.561789 45.971670 2113.394412 0.008419 1.5812 147.881
6 19 78.872376 47.654072 2270.910559 78.869405 46.332210 2146.673688 0.002971 1.32186 124.237
7 20 76.486958 47.176989 2225.668245 76.515098 46.073680 2122.783974 -0.02814 1.10331 102.884
8 21 75.837586 47.382445 2245.096134 75.851264 46.422464 2155.045196 -0.013678 0.959981 90.0509
9 22 74.172135 47.691810 2274.508734 74.190069 46.830055 2193.054019 -0.017934 0.861755 81.4547
10 23 72.630029 47.238913 2231.514914 72.653116 46.481989 2160.575325 -0.023087 0.756924 70.9396
11 24 71.687851 47.400491 2246.806510 71.708533 46.722689 2183.009688 -0.020682 0.677802 63.7968
12 25 70.085165 46.944631 2203.798354 70.107578 46.327163 2146.206015 -0.022413 0.617468 57.5923
13 26 68.945742 47.542480 2260.287428 68.969234 46.974449 2206.598869 -0.023492 0.568031 53.6886
14 27 67.439327 47.073894 2215.951498 67.463004 46.550336 2166.933785 -0.023677 0.523558 49.0177
15 28 65.746225 46.844853 2194.440261 65.768871 46.367483 2149.943449 -0.022646 0.47737 44.4968
16 29 65.210729 47.183716 2226.303030 65.225210 46.724539 2183.182561 -0.014481 0.459177 43.1205
17 30 64.593784 47.416713 2248.344647 64.605179 46.981908 2207.299698 -0.011395 0.434805 41.0449
18 31 65.140724 47.700040 2275.293814 65.153289 47.301123 2237.396218 -0.012565 0.398917 37.8976
19 32 62.076250 47.064203 2215.039242 62.099729 46.666431 2177.755743 -0.023479 0.397772 37.2835
20 33 63.472865 47.740944 2279.197712 63.487039 47.358189 2242.798024 -0.014174 0.382755 36.3997
21 34 62.389773 47.320887 2239.266366 62.408583 46.970731 2206.249534 -0.01881 0.350156 33.0168
22 35 64.480786 48.371377 2339.790070 64.485586 48.017605 2305.690346 -0.0048 0.353772 34.0997
23 36 58.543468 46.556391 2167.497524 58.589111 46.209925 2135.357203 -0.045643 0.346466 32.1403
24 37 59.723626 46.615711 2173.024526 59.757328 46.295854 2143.306120 -0.033702 0.319857 29.7184
25 38 57.127495 45.956005 2111.954423 57.180388 45.678086 2086.487573 -0.052893 0.277919 25.4669
26 39 58.289273 46.092205 2124.491360 58.323546 45.810062 2098.561803 -0.034273 0.282143 25.9296
27 40 53.919048 45.260898 2048.548889 53.969045 44.990278 2024.125110 -0.049997 0.27062 24.4238
