#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 3 52.332129 41.016591 1682.360734 52.024503 35.363407 1250.570572 0.307626 5.65318 431.79
2 4 39.330959 36.435485 1327.544558 39.691118 33.413282 1116.447429 -0.360159 3.0222 211.097
3 5 33.035436 34.652673 1200.807776 33.470924 32.745044 1072.237925 -0.435488 1.90763 128.57
4 6 29.320419 33.899585 1149.181867 29.726284 32.528072 1058.075468 -0.405865 1.37151 91.1064
5 7 26.989731 33.492178 1121.725987 27.361499 32.481400 1055.041345 -0.371768 1.01078 66.6846
6 8 25.059555 33.084075 1094.556031 25.393240 32.276931 1041.800265 -0.333685 0.807144 52.7558
7 9 23.864195 32.958740 1086.278529 24.167022 32.318256 1044.469668 -0.302827 0.640484 41.8089
8 10 22.653474 32.615929 1063.798850 22.927666 32.073509 1028.710011 -0.274192 0.54242 35.0888
9 11 22.092062 32.614744 1063.721553 22.342595 32.167149 1034.725480 -0.250533 0.447595 28.9961
10 12 21.517834 32.880773 1081.145202 21.745063 32.480941 1055.011503 -0.227229 0.399832 26.1337
11 13 20.939251 32.627526 1064.555440 21.147519 32.278992 1041.933318 -0.208268 0.348534 22.6221
12 14 20.337787 32.697011 1069.094533 20.528892 32.375941 1048.201585 -0.191105 0.32107 20.8929
13 15 19.959475 32.587542 1061.947890 20.134370 32.294335 1042.924091 -0.174895 0.293207 19.0238
14 16 19.371938 32.267900 1041.217373 19.536734 32.005542 1024.354699 -0.164796 0.262358 16.8627
15 17 19.136553 32.481600 1055.054313 19.287462 32.232374 1038.925957 -0.150909 0.249226 16.1284
16 18 18.852791 32.300958 1043.351913 18.994943 32.075882 1028.862221 -0.142152 0.225076 14.4897
17 19 18.709796 32.702603 1069.460219 18.841043 32.487831 1055.459170 -0.131247 0.214772 14.001
18 20 18.599201 32.912026 1083.201464 18.722634 32.711271 1070.027232 -0.123433 0.200755 13.1742
19 21 18.387014 32.682677 1068.157369 18.503005 32.496213 1056.003829 -0.115991 0.186464 12.1535
20 22 18.598002 33.262373 1106.385480 18.707553 33.089166 1094.892891 -0.109551 0.173207 11.4926
21 23 18.180627 32.571298 1060.889472 18.283605 32.407433 1050.241694 -0.102978 0.163865 10.6478
22 24 18.680025 33.787360 1141.585665 18.774036 33.623519 1130.541012 -0.094011 0.163841 11.0447
23 25 18.200999 32.661649 1066.783296 18.291934 32.517028 1057.357107 -0.090935 0.144621 9.42619
24 26 19.310479 34.440722 1186.163309 19.392927 34.295041 1176.149836 -0.082448 0.145681 10.0135
25 27 18.527674 32.863335 1079.998793 18.607183 32.730042 1071.255622 -0.079509 0.133293 8.74317
26 28 18.857054 33.830109 1144.476307 18.932017 33.698755 1135.606119 -0.074963 0.131354 8.87019
27 29 18.767635 33.104396 1095.901005 18.839577 32.988692 1088.253794 -0.071942 0.115704 7.64721
28 30 19.746337 34.454454 1187.109417 19.812914 34.340868 1179.295193 -0.066577 0.113586 7.81422
29 31 18.935270 33.116236 1096.685061 18.998247 33.005894 1089.389064 -0.062977 0.110342 7.296
30 32 19.817785 34.092419 1162.293025 19.877168 33.989199 1155.265660 -0.059383 0.10322 7.02736
31 33 19.489751 34.108380 1163.381596 19.547346 34.009371 1156.637311 -0.057595 0.099009 6.74428
32 34 19.988225 33.693744 1135.268367 20.042854 33.603845 1129.218389 -0.054629 0.089899 6.04998
33 35 19.394904 32.955864 1086.088941 19.446194 32.866180 1080.185800 -0.05129 0.089684 5.90314
34 36 20.339313 32.740428 1071.935604 20.386995 32.660429 1066.703616 -0.047682 0.079999 5.23199
35 37 22.177427 34.584490 1196.086915 22.217404 34.499582 1190.221149 -0.039977 0.084908 5.86577
36 38 23.435951 33.114997 1096.602999 23.477351 33.051766 1092.419249 -0.0414 0.063231 4.18375
37 39 26.882866 35.365725 1250.734490 26.918663 35.306754 1246.566887 -0.035797 0.058971 4.1676
38 40 26.973048 35.116674 1233.180820 27.009088 35.063518 1229.450307 -0.03604 0.053156 3.73051
