 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    2   4281.2468      1.6372    1.205526E+02
    3    129.0935      3.2751    5.089074E+00
    4    873.8032      4.6323    4.428865E+01
    5     66.7633      5.9061    4.135869E+00
    6    324.9280      7.1417    2.378849E+01
    7     35.6750      8.3563    3.013641E+00
    8    146.6276      9.5584    1.403786E+01
    9     23.4924     10.7526    2.513722E+00
   10     75.9860     11.9417    8.986472E+00
   11     16.2516     13.1275    2.105040E+00
   12     43.8294     14.3113    6.170806E+00
   13     11.6865     15.4939    1.776988E+00
   14     28.0431     16.6761    4.579946E+00
   15      8.4022     17.8584    1.466868E+00
   16     18.4891     19.0413    3.436102E+00
   17      5.7922     20.2250    1.141689E+00
   18     13.3603     21.4100    2.783904E+00
   19      4.2132     22.5964    9.253649E-01
   20     10.2904     23.7847    2.376033E+00
   21      3.1214     24.9749    7.558824E-01
   22      8.4144     26.1674    2.132416E+00
   23      2.4639     27.3623    6.521647E-01
   24      6.7766     28.5599    1.870011E+00
   25      2.0187     29.7603    5.798001E-01
   26      6.0067     30.9638    1.792867E+00
   27      1.6228     32.1704    5.026481E-01
   28      5.2547     33.3805    1.686783E+00
   29      1.4544     34.5943    4.832504E-01
   30      3.7945     35.8118    1.303529E+00
   31      1.3992     37.0333    4.964285E-01
   32      2.8419     38.2591    1.040300E+00
   33      1.2471     39.4893    4.705572E-01
   34      2.4595     40.7241    9.557235E-01
   35      1.0350     41.9637    4.138424E-01
   36      2.2304     43.2083    9.169422E-01
   37      0.7633     44.4583    3.223984E-01
   38      2.1923     45.7137    9.506640E-01
   39      0.4340     46.9748    1.930871E-01
   40      1.9969     48.2420    9.109146E-01
   41      0.1909     49.5153    8.923194E-02
   42      1.3815     50.7952    6.613116E-01
   43      0.0848     52.0817    4.154813E-02
   44      0.6630     53.3754    3.323073E-01
   45      0.0414     54.6763    2.121671E-02
   46      0.2115     55.9849    1.107719E-01
   47      0.0175     57.3013    9.362633E-03
   48      0.0497     58.6261    2.714966E-02
   49      0.0061     59.9595    3.400959E-03
   50      0.0191     61.3018    1.086403E-02
   51      0.0018     62.6535    1.044110E-03
   52      0.0091     64.0149    5.381050E-03
   53      0.0004     65.3864    2.410350E-04
   54      0.0020     66.7685    1.227702E-03
   55      0.0001     68.1617    6.251141E-05
   56      0.0002     69.5664    1.272755E-04
   57      0.0000     70.9831    0.000000E+00
   58      0.0001     72.4124    6.589041E-05
   59      0.0000     73.8548    0.000000E+00
   60      0.0000     75.3110    0.000000E+00
   61      0.0000     76.7815    0.000000E+00
   62      0.0000     78.2672    0.000000E+00
   63      0.0000     79.7686    0.000000E+00
   64      0.0000     81.2867    0.000000E+00
   65      0.0000     82.8222    0.000000E+00
   66      0.0000     84.3760    0.000000E+00
   67      0.0000     85.9492    0.000000E+00
   68      0.0000     87.5427    0.000000E+00
   69      0.0000     89.1577    0.000000E+00
   70      0.0000     90.7955    0.000000E+00
   71      0.0000     92.4573    0.000000E+00
   72      0.0000     94.1446    0.000000E+00
   73      0.0000     95.8591    0.000000E+00
   74      0.0000     97.6025    0.000000E+00
   75      0.0000     99.3766    0.000000E+00
   76      0.0000    101.1838    0.000000E+00
   77      0.0000    103.0263    0.000000E+00
   78      0.0000    104.9068    0.000000E+00
   79      0.0000    106.8284    0.000000E+00
   80      0.0000    108.7943    0.000000E+00
   81      0.0000    110.8086    0.000000E+00
   82      0.0000    112.8755    0.000000E+00
   83      0.0000    115.0002    0.000000E+00
   84      0.0000    117.1886    0.000000E+00
   85      0.0000    119.4477    0.000000E+00
   86      0.0000    121.7858    0.000000E+00
   87      0.0000    124.2130    0.000000E+00
   88      0.0000    126.7413    0.000000E+00
   89      0.0000    129.3862    0.000000E+00
   90      0.0000    132.1671    0.000000E+00
   91      0.0000    135.1091    0.000000E+00
   92      0.0000    138.2467    0.000000E+00
   93      0.0000    141.6277    0.000000E+00
   94      0.0000    145.3234    0.000000E+00
   95      0.0000    149.4480    0.000000E+00
   96      0.0000    154.2064    0.000000E+00
   97      0.0000    160.0475    0.000000E+00
   98      0.0000    168.5193    0.000000E+00
