 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   12     20.2153     12.8665    3.894325E+00
   13      0.0519     23.1048    1.079799E-02
   14      6.6951     30.6331    1.496122E+00
   15      0.0394     37.1680    9.411739E-03
   16      3.6109     43.1933    9.182086E-01
   17      0.0287     48.9291    7.740373E-03
   18      2.3842     54.5005    6.797612E-01
   19      0.0216     59.9893    6.491279E-03
   20      1.7175     65.4562    5.426159E-01
   21      0.0168     70.9510    5.566596E-03
   22      1.4089     76.5188    4.885451E-01
   23      0.0131     82.2045    4.744398E-03
   24      1.2005     88.0568    4.532838E-01
   25      0.0103     94.1322    4.047803E-03
   26      1.0811    100.5016    4.415234E-01
   27      0.0079    107.2599    3.348126E-03
   28      1.0820    114.5438    4.752412E-01
   29      0.0056    122.5686    2.545962E-03
   30      1.1742    131.7183    5.519298E-01
   31      0.0032    142.8320    1.553469E-03
   32      1.8262    158.8287    9.146894E-01
