 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    2   1641.4484      6.0173    1.698196E+02
    3     10.4877     12.0638    1.519039E+00
    4    200.7924     17.0956    3.739215E+01
    5      2.9952     21.8454    6.817248E-01
    6     60.4451     26.4863    1.625905E+01
    7      0.7420     31.0890    2.302957E-01
    8     24.3969     35.6918    8.581717E+00
    9      0.2408     40.3200    9.466745E-02
   10     11.6912     44.9930    5.080062E+00
   11      0.1051     49.7279    5.001740E-02
   12      6.3393     54.5411    3.279230E+00
   13      0.0555     59.4497    3.100611E-02
   14      3.8412     64.4724    2.304918E+00
   15      0.0333     69.6306    2.135977E-02
   16      2.5874     74.9494    1.766722E+00
   17      0.0217     80.4593    1.571514E-02
   18      1.9721     86.1985    1.509806E+00
   19      0.0147     92.2164    1.186240E-02
   20      1.6082     98.5790    1.364315E+00
   21      0.0102    105.3787    9.075263E-03
   22      1.5007    112.7522    1.397324E+00
   23      0.0069    120.9186    6.710232E-03
   24      1.5984    130.2721    1.620586E+00
   25      0.0040    141.6784    4.221053E-03
   26      2.5455    158.1546    2.791512E+00
