 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    1    512.2581      4.7802    4.655482E+01
    2      0.4410     10.7088    6.679795E-02
    3     90.8692     15.9132    1.926945E+01
    4      0.2171     20.9643    5.919116E-02
    5     39.9265     25.9783    1.330480E+01
    6      0.1522     31.0021    5.993942E-02
    7     23.0719     36.0633    1.048405E+01
    8      0.1070     41.1823    5.510452E-02
    9     15.2404     46.3778    8.772119E+00
   10      0.0750     51.6683    4.771282E-02
   11     10.8444     57.0739    7.555930E+00
   12      0.0542     62.6172    4.104817E-02
   13      8.1035     68.3251    6.628129E+00
   14      0.0400     74.2299    3.514087E-02
   15      6.2813     80.3721    5.898829E+00
   16      0.0295     86.8041    2.949107E-02
   17      5.1392     93.5958    5.449016E+00
   18      0.0212    100.8451    2.376250E-02
   19      4.4376    108.6968    5.242848E+00
   20      0.0143    117.3828    1.776129E-02
   21      4.3493    127.3207    5.665554E+00
   22      0.0081    139.4278    1.104211E-02
   23      6.4579    156.9065    9.194830E+00
