j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 15 8 0.73693 43.0887 42.351769942272647 32.329338167643101 3.232930E+01 25.2213
2 16 9 5.39117 32.6878 27.296628189978794 29.370656324500889 2.937066E+01 22.5664
3 17 10 7.29878 26.9841 19.685319729913232 26.677380345919939 2.667737E+01 20.4173
4 18 11 7.62057 23.2289 15.608333091694652 25.306557055003562 2.530655E+01 18.6418
5 19 12 7.5415 20.5141 12.972603710314321 23.854596202234447 2.385450E+01 17.1505
6 20 13 7.42634 18.4349 11.008560516586074 23.114988630086323 2.311498E+01 15.8801
7 21 14 7.12338 16.7787 9.6553153656183675 22.670198642227056 2.266974E+01 14.7849
8 22 15 6.71707 15.4209 8.7038343024352613 22.369726991525667 2.236972E+01 13.831
9 23 16 6.50311 14.2834 7.7802901495933288 21.528913954631495 2.152879E+01 12.9928
10 24 17 6.15163 13.3137 7.1620693004002458 21.486183364838038 2.148563E+01 12.2504
11 25 18 5.75083 12.4757 6.7248689761291125 21.196874366000319 2.119661E+01 11.5882
12 26 19 5.4799 11.7428 6.2628980252866109 21.022968485645873 2.102232E+01 10.9939
13 27 20 5.36319 11.0958 5.7326114605778331 20.647476630964171 2.064687E+01 10.4576
14 28 21 5.01829 10.5197 5.5014084571771615 20.353670179599650 2.035367E+01 9.97122
15 29 22 4.71066 10.0031 5.2924374873987148 19.057142128746776 1.905711E+01 9.52805
16 30 23 4.51064 9.5369 5.0262632100114137 20.222994166107856 2.022252E+01 9.1226
17 31 24 4.36861 9.1139 4.7452897993525260 19.601245925847962 1.959970E+01 8.75025
18 32 25 3.99526 8.7280 4.7327396038021465 19.741679545058169 1.974089E+01 8.40711
19 33 26 4.02819 8.3746 4.3464130231140636 18.728282746617641 1.872644E+01 8.08986
20 34 27 3.84814 8.0495 4.2013604658314243 20.407086741316800 2.040708E+01 7.79568
21 35 28 3.7355 7.7494 4.0138980713433554 20.314427195138119 2.031422E+01 7.52215
22 36 29 3.65643 7.4714 3.8149690247124126 20.113930019227649 2.011366E+01 7.26716
23 37 30 3.50521 7.2132 3.7079874154472763 19.169722515455586 1.916965E+01 7.02889
24 38 31 3.6077 6.9726 3.3648998256531235 22.076663016239394 2.207455E+01 6.80575
25 39 32 3.64985 6.7480 3.0981479823019784 17.275772646083499 1.727577E+01 6.59634
26 40 33 3.59592 6.5376 2.9416808687488420 20.741356580723146 2.073736E+01 6.39944
