j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 29 15 4.83936 44.0119 39.172537647116016 13.137008567295767 1.313700E+01 19.56
2 30 16 9.07636 33.9019 24.825537412733659 12.557790415706014 1.255778E+01 18.3746
3 31 17 9.99656 28.3718 18.375240084263751 11.419086153803436 1.141907E+01 17.3246
4 32 18 10.2974 24.7292 14.431753841864429 10.220158157696593 1.022011E+01 16.3881
5 33 19 10.1017 22.0893 11.987600377087068 9.3906874506533082 9.390677E+00 15.5477
6 34 20 9.86256 20.0596 10.197037835973836 9.9313240157621649 9.931323E+00 14.7893
7 35 21 9.63456 18.4349 8.8003437765130634 10.075156883231932 1.007516E+01 14.1014
8 36 22 9.16153 17.0959 7.9343689686150904 8.5264244869984633 8.526264E+00 13.4747
9 37 23 8.98412 15.9675 6.9833849179491105 8.3101065063354547 8.310059E+00 12.9013
10 38 24 8.27281 14.9998 6.7269929717659753 8.6218334922722875 8.621699E+00 12.3747
11 39 25 8.20797 14.1582 5.9502271779317821 6.7893755152930479 6.788907E+00 11.8894
12 40 26 7.79962 13.4177 5.6180836853073624 9.5352720405795033 9.535175E+00 11.4408
