 -              0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50
 10    1.597E+001  1.958E+001  1.746E+001  1.971E+001  2.170E+001  1.994E+001  3.107E+001  2.080E+001  5.963E+001  2.404E+001  4.588E+002  2.214E+001  4.950E+001  1.631E+001  2.123E+001  1.331E+001  1.200E+001  1.116E+001  7.658E+000  9.367E+000  5.368E+000  7.898E+000  4.037E+000  6.660E+000  3.221E+000  5.621E+000  2.679E+000  4.771E+000  2.269E+000  4.070E+000  1.935E+000  3.507E+000  1.702E+000  2.986E+000  1.518E+000  2.531E+000  1.370E+000  2.140E+000  1.223E+000  1.798E+000  1.093E+000  1.483E+000  9.788E-001  1.271E+000  8.125E-001  1.052E+000  7.246E-001  1.076E+000  5.541E-001  7.554E-001  3.651E-001
 11    1.933E+001  1.414E+001  1.941E+001  1.616E+001  1.957E+001  2.068E+001  1.989E+001  3.029E+001  2.083E+001  5.899E+001  2.417E+001  4.590E+002  2.239E+001  4.990E+001  1.658E+001  2.153E+001  1.360E+001  1.227E+001  1.142E+001  7.876E+000  9.631E+000  5.538E+000  8.146E+000  4.190E+000  6.879E+000  3.349E+000  5.833E+000  2.752E+000  4.975E+000  2.320E+000  4.253E+000  1.996E+000  3.654E+000  1.754E+000  3.109E+000  1.537E+000  2.601E+000  1.358E+000  2.280E+000  1.204E+000  1.902E+000  1.059E+000  1.577E+000  8.998E-001  1.468E+000  8.221E-001  1.074E+000  7.229E-001  1.270E+000  5.112E-001  7.522E-001
 12    1.205E+001  1.901E+001  1.294E+001  1.911E+001  1.522E+001  1.936E+001  1.997E+001  1.978E+001  2.968E+001  2.080E+001  5.851E+001  2.425E+001  4.593E+002  2.258E+001  5.024E+001  1.681E+001  2.183E+001  1.382E+001  1.251E+001  1.166E+001  8.056E+000  9.861E+000  5.700E+000  8.353E+000  4.321E+000  7.080E+000  3.428E+000  6.021E+000  2.828E+000  5.141E+000  2.391E+000  4.386E+000  2.117E+000  3.690E+000  1.887E+000  3.121E+000  1.697E+000  2.639E+000  1.535E+000  2.197E+000  1.355E+000  1.836E+000  1.259E+000  1.648E+000  1.006E+000  1.456E+000  9.506E-001  1.406E+000  6.999E-001  1.081E+000  4.892E-001
 13    1.852E+001  1.093E+001  1.856E+001  1.207E+001  1.877E+001  1.458E+001  1.911E+001  1.941E+001  1.962E+001  2.923E+001  2.074E+001  5.812E+001  2.429E+001  4.596E+002  2.274E+001  5.056E+001  1.698E+001  2.208E+001  1.402E+001  1.270E+001  1.187E+001  8.228E+000  1.006E+001  5.839E+000  8.550E+000  4.396E+000  7.281E+000  3.477E+000  6.207E+000  2.882E+000  5.288E+000  2.444E+000  4.491E+000  2.127E+000  3.794E+000  1.879E+000  3.214E+000  1.662E+000  2.800E+000  1.494E+000  2.335E+000  1.315E+000  1.932E+000  1.171E+000  1.879E+000  1.058E+000  1.436E+000  9.639E-001  1.624E+000  6.714E-001  1.070E+000
 14    9.663E+000  1.794E+001  1.013E+001  1.811E+001  1.150E+001  1.840E+001  1.408E+001  1.884E+001  1.900E+001  1.945E+001  2.886E+001  2.066E+001  5.779E+001  2.431E+001  4.600E+002  2.285E+001  5.085E+001  1.715E+001  2.229E+001  1.420E+001  1.289E+001  1.204E+001  8.373E+000  1.024E+001  5.920E+000  8.731E+000  4.477E+000  7.448E+000  3.559E+000  6.332E+000  2.980E+000  5.333E+000  2.616E+000  4.497E+000  2.281E+000  3.813E+000  2.094E+000  3.184E+000  1.866E+000  2.689E+000  1.636E+000  2.329E+000  1.595E+000  2.116E+000  1.209E+000  1.952E+000  1.197E+000  1.750E+000  8.809E-001  1.438E+000  6.504E-001
 15    1.722E+001  8.896E+000  1.738E+001  9.616E+000  1.764E+001  1.106E+001  1.803E+001  1.373E+001  1.856E+001  1.868E+001  1.926E+001  2.854E+001  2.057E+001  5.753E+001  2.431E+001  4.604E+002  2.296E+001  5.109E+001  1.729E+001  2.250E+001  1.435E+001  1.305E+001  1.221E+001  8.459E+000  1.042E+001  5.978E+000  8.913E+000  4.526E+000  7.588E+000  3.612E+000  6.423E+000  2.996E+000  5.420E+000  2.588E+000  4.622E+000  2.277E+000  3.938E+000  2.043E+000  3.367E+000  1.804E+000  2.872E+000  1.638E+000  2.370E+000  1.521E+000  2.382E+000  1.277E+000  1.879E+000  1.235E+000  1.995E+000  8.841E-001  1.422E+000
 16    8.041E+000  1.661E+001  8.436E+000  1.683E+001  9.213E+000  1.719E+001  1.075E+001  1.766E+001  1.345E+001  1.829E+001  1.839E+001  1.909E+001  2.829E+001  2.047E+001  5.730E+001  2.432E+001  4.608E+002  2.306E+001  5.131E+001  1.740E+001  2.267E+001  1.449E+001  1.315E+001  1.237E+001  8.548E+000  1.057E+001  6.079E+000  9.034E+000  4.619E+000  7.631E+000  3.772E+000  6.419E+000  3.206E+000  5.440E+000  2.769E+000  4.598E+000  2.555E+000  3.850E+000  2.246E+000  3.335E+000  1.951E+000  2.999E+000  1.975E+000  2.612E+000  1.452E+000  2.508E+000  1.442E+000  2.131E+000  1.091E+000  1.845E+000  8.774E-001
 17    1.589E+001  7.646E+000  1.599E+001  8.062E+000  1.631E+001  8.942E+000  1.675E+001  1.051E+001  1.731E+001  1.320E+001  1.804E+001  1.818E+001  1.890E+001  2.807E+001  2.038E+001  5.708E+001  2.433E+001  4.612E+002  2.314E+001  5.152E+001  1.752E+001  2.277E+001  1.463E+001  1.322E+001  1.253E+001  8.605E+000  1.070E+001  6.133E+000  9.106E+000  4.644E+000  7.697E+000  3.743E+000  6.523E+000  3.197E+000  5.609E+000  2.770E+000  4.755E+000  2.511E+000  4.048E+000  2.198E+000  3.512E+000  2.031E+000  2.969E+000  1.885E+000  2.920E+000  1.522E+000  2.386E+000  1.519E+000  2.407E+000  1.160E+000  1.825E+000
 18    7.201E+000  1.521E+001  7.295E+000  1.542E+001  7.821E+000  1.581E+001  8.733E+000  1.634E+001  1.029E+001  1.699E+001  1.301E+001  1.778E+001  1.798E+001  1.874E+001  2.786E+001  2.031E+001  5.690E+001  2.432E+001  4.616E+002  2.322E+001  5.165E+001  1.763E+001  2.288E+001  1.476E+001  1.335E+001  1.263E+001  8.709E+000  1.072E+001  6.283E+000  9.105E+000  4.874E+000  7.696E+000  3.970E+000  6.517E+000  3.440E+000  5.539E+000  3.081E+000  4.702E+000  2.688E+000  4.202E+000  2.343E+000  3.699E+000  2.380E+000  3.195E+000  1.718E+000  3.103E+000  1.725E+000  2.585E+000  1.324E+000  2.321E+000  1.175E+000
 19    1.444E+001  6.833E+000  1.460E+001  7.082E+000  1.488E+001  7.631E+000  1.536E+001  8.535E+000  1.597E+001  1.013E+001  1.668E+001  1.285E+001  1.756E+001  1.779E+001  1.859E+001  2.768E+001  2.022E+001  5.674E+001  2.433E+001  4.620E+002  2.331E+001  5.176E+001  1.775E+001  2.296E+001  1.486E+001  1.341E+001  1.266E+001  8.750E+000  1.075E+001  6.260E+000  9.200E+000  4.871E+000  7.828E+000  3.991E+000  6.732E+000  3.460E+000  5.704E+000  3.093E+000  4.883E+000  2.670E+000  4.330E+000  2.489E+000  3.642E+000  2.241E+000  3.532E+000  1.830E+000  2.942E+000  1.834E+000  2.889E+000  1.477E+000  2.298E+000
 20    6.419E+000  1.380E+001  6.634E+000  1.402E+001  6.909E+000  1.439E+001  7.447E+000  1.494E+001  8.396E+000  1.561E+001  9.983E+000  1.641E+001  1.267E+001  1.736E+001  1.763E+001  1.845E+001  2.751E+001  2.015E+001  5.652E+001  2.435E+001  4.625E+002  2.341E+001  5.192E+001  1.781E+001  2.309E+001  1.486E+001  1.356E+001  1.264E+001  9.004E+000  1.075E+001  6.533E+000  9.190E+000  5.119E+000  7.797E+000  4.326E+000  6.689E+000  3.735E+000  5.764E+000  3.209E+000  5.210E+000  2.821E+000  4.415E+000  2.824E+000  3.909E+000  2.016E+000  3.787E+000  2.079E+000  3.097E+000  1.593E+000  2.887E+000  1.520E+000
