 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    3    172.0984      7.1250    2.054664E+01
    4      0.3242     13.6864    4.976470E-02
    5     53.4482     18.9566    1.002748E+01
    6      0.2322     23.8289    5.148390E-02
    7     29.0288     28.5285    7.426534E+00
    8      0.1616     33.1508    4.685502E-02
    9     18.3289     37.7470    5.939582E+00
   10      0.1159     42.3503    4.151151E-02
   11     12.5444     46.9849    4.920889E+00
   12      0.0860     51.6712    3.666944E-02
   13      9.0016     56.4277    4.145237E+00
   14      0.0655     61.2731    3.239703E-02
   15      6.6653     66.2271    3.524092E+00
   16      0.0504     71.3115    2.836680E-02
   17      5.1431     76.5519    3.070145E+00
   18      0.0383     81.9788    2.416943E-02
   19      4.0985     87.6304    2.726185E+00
   20      0.0286     93.5556    1.999934E-02
   21      3.4357     99.8197    2.519704E+00
   22      0.0205    106.5138    1.573375E-02
   23      3.0565    113.7729    2.450124E+00
   24      0.0137    121.8129    1.144939E-02
   25      3.0744    131.0221    2.674215E+00
   26      0.0076    142.2530    6.869977E-03
   27      4.7257    158.4755    4.432969E+00
