 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    4    220.6873     13.8302    4.927257E+01
    5      0.6114     26.1755    1.668413E-01
    6     46.3602     35.9847    1.495113E+01
    7      0.1761     45.0744    6.552937E-02
    8     17.7337     53.9501    7.478830E+00
    9      0.0555     62.8656    2.615965E-02
   10      8.8059     72.0036    4.587525E+00
   11      0.0218     81.5398    1.243855E-02
   12      5.3210     91.6861    3.300036E+00
   13      0.0097    102.7492    6.497120E-03
   14      4.0496    115.2555    2.913369E+00
   15      0.0041    130.3413    3.153051E-03
   16      5.0205    151.9740    4.110042E+00
