 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    9     92.7097      5.4220    7.610392E+00
   10      2.4565      9.7485    2.228765E-01
   11     36.7972     12.9416    3.656544E+00
   12      1.6447     15.7109    1.776458E-01
   13     21.6926     18.2525    2.530484E+00
   14      1.2005     20.6529    1.504140E-01
   15     14.3086     22.9587    1.916404E+00
   16      0.9477     25.1980    1.351180E-01
   17     10.0375     27.3893    1.517825E+00
   18      0.7774     29.5456    1.242723E-01
   19      7.1868     31.6761    1.210956E+00
   20      0.6170     33.7881    1.092942E-01
   21      5.0872     35.8872    9.450951E-01
   22      0.4413     37.9778    8.579751E-02
   23      3.7816     40.0637    7.678947E-01
   24      0.2991     42.1481    6.331997E-02
   25      2.9250     44.2338    6.445020E-01
   26      0.2199     46.3232    5.035346E-02
   27      2.2309     48.4186    5.301161E-01
   28      0.1732     50.5221    4.265314E-02
   29      1.7821     52.6356    4.542682E-01
   30      0.1331     54.7611    3.507810E-02
   31      1.4346     56.9005    3.904807E-01
   32      0.0998     59.0556    2.802671E-02
   33      1.1420     61.2283    3.305743E-01
   34      0.0749     63.4205    2.232848E-02
   35      0.9429     65.6342    2.892359E-01
   36      0.0560     67.8715    1.766197E-02
   37      0.8042     70.1345    2.605875E-01
   38      0.0414     72.4255    1.377271E-02
   39      0.7097     74.7470    2.422312E-01
   40      0.0295     77.1017    1.032370E-02
   41      0.5900     79.4925    2.115721E-01
   42      0.0196     81.9227    7.197857E-03
   43      0.4054     84.3956    1.523811E-01
   44      0.0125     86.9153    4.806492E-03
   45      0.2528     89.4861    9.939092E-02
   46      0.0080     92.1131    3.214409E-03
   47      0.1753     94.8017    7.195049E-02
   48      0.0049     97.5586    2.053506E-03
   49      0.1165    100.3913    4.982982E-02
   50      0.0029    103.3086    1.265458E-03
   51      0.0676    106.3210    3.008238E-02
   52      0.0016    109.4411    7.258343E-04
   53      0.0449    112.6844    2.075670E-02
   54      0.0008    116.0698    3.767426E-04
   55      0.0304    119.6220    1.457890E-02
   56      0.0003    123.3725    1.464630E-04
   57      0.0147    127.3644    7.303708E-03
   58      0.0001    131.6578    5.054918E-05
   59      0.0051    136.3421    2.622077E-03
   60      0.0000    141.5606    0.000000E+00
   61      0.0020    147.5708    1.062829E-03
   62      0.0000    154.9365    0.000000E+00
   63      0.0014    165.6084    7.681747E-04
