 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    7     70.9625      9.6916    1.084643E+01
    8      0.1521     17.6606    2.634783E-02
    9     27.3442     23.6653    5.294020E+00
   10      0.1341     28.9747    2.869557E-02
   11     16.2170     33.9367    3.800713E+00
   12      0.1084     38.7057    2.761443E-02
   13     10.7952     43.3666    2.970033E+00
   14      0.0873     47.9735    2.579758E-02
   15      7.6051     52.5647    2.402334E+00
   16      0.0702     57.1698    2.360575E-02
   17      5.6196     61.8145    2.004196E+00
   18      0.0557     66.5219    2.100021E-02
   19      4.2777     71.3152    1.699972E+00
   20      0.0434     76.2186    1.813178E-02
   21      3.3929     81.2591    1.486642E+00
   22      0.0333     86.4679    1.526945E-02
   23      2.7718     91.8829    1.327475E+00
   24      0.0248     97.5523    1.238268E-02
   25      2.3788    103.5392    1.236217E+00
   26      0.0178    109.9316    9.613082E-03
   27      2.1818    116.8587    1.222769E+00
   28      0.0119    124.5269    6.911759E-03
   29      2.2271    133.3066    1.338932E+00
   30      0.0066    144.0099    4.102424E-03
   31      3.5443    159.4623    2.275295E+00
