 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   35      3.4616     14.5844    7.340573E-01
   36      0.0142     25.7907    3.096035E-03
   37      1.3814     33.7852    3.094393E-01
   38      0.0130     40.5362    2.989708E-03
   39      0.8907     46.6076    2.101615E-01
   40      0.0091     52.2574    2.201512E-03
   41      0.5928     57.6312    1.469539E-01
   42      0.0053     62.8227    1.345518E-03
   43      0.3904     67.8982    1.014434E-01
   44      0.0028     72.9090    7.442910E-04
   45      0.3014     77.8979    8.191800E-02
   46      0.0016     82.9032    4.444241E-04
   47      0.2266     87.9618    6.429515E-02
   48      0.0010     93.1119    2.897120E-04
   49      0.1315     98.3957    3.888263E-02
   50      0.0006    103.8632    1.809953E-04
   51      0.0704    109.5769    2.165731E-02
   52      0.0003    115.6207    9.408173E-05
   53      0.0486    122.1152    1.553155E-02
   54      0.0001    129.2500    3.255526E-05
   55      0.0344    137.3631    1.140450E-02
   56      0.0000    147.1917    0.000000E+00
   57      0.0250    161.2958    8.586824E-03
