 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   19     27.4834      6.7806    2.593763E+00
   20      1.3911     11.9776    1.380186E-01
   21     11.1566     15.6955    1.160902E+00
   22      0.9992     18.8339    1.088078E-01
   23      6.8018     21.6484    7.736009E-01
   24      0.8259     24.2541    9.793069E-02
   25      4.7071     26.7140    5.809234E-01
   26      0.6605     29.0670    8.471181E-02
   27      3.5614     31.3392    4.740004E-01
   28      0.5182     33.5488    7.147720E-02
   29      2.7008     35.7093    3.856024E-01
   30      0.3936     37.8310    5.810054E-02
   31      2.1045     39.9219    3.208372E-01
   32      0.2845     41.9887    4.474978E-02
   33      1.7219     44.0367    2.791759E-01
   34      0.1948     46.0704    3.252620E-02
   35      1.2877     48.0937    2.212424E-01
   36      0.1268     50.1100    2.239945E-02
   37      0.8922     52.1222    1.619268E-01
   38      0.0762     54.1332    1.419845E-02
   39      0.6334     56.1453    1.210878E-01
   40      0.0401     58.1610    7.860038E-03
   41      0.4566     60.1823    9.170843E-02
   42      0.0193     62.2114    3.969826E-03
   43      0.3438     64.2503    7.238030E-02
   44      0.0103     66.3011    2.218311E-03
   45      0.2479     68.3656    5.459001E-02
   46      0.0063     70.4459    1.417812E-03
   47      0.1420     72.5442    3.264429E-02
   48      0.0040     74.6624    9.389166E-04
   49      0.0717     76.8028    1.717709E-02
   50      0.0025     78.9678    6.110217E-04
   51      0.0440     81.1598    1.096693E-02
   52      0.0013     83.3814    3.303147E-04
   53      0.0263     85.6355    6.809807E-03
   54      0.0005     87.9252    1.318839E-04
   55      0.0110     90.2540    2.954683E-03
   56      0.0002     92.6255    5.468947E-05
   57      0.0035     95.0441    9.740049E-04
   58      0.0001     97.5144    2.831269E-05
   59      0.0012    100.0418    3.455600E-04
   60      0.0000    102.6326    0.000000E+00
   61      0.0005    105.2937    1.488231E-04
   62      0.0000    108.0336    0.000000E+00
   63      0.0001    110.8623    3.073258E-05
   64      0.0000    113.7914    0.000000E+00
   65      0.0000    116.8357    0.000000E+00
   66      0.0000    120.0130    0.000000E+00
   67      0.0000    123.3464    0.000000E+00
   68      0.0000    126.8657    0.000000E+00
   69      0.0000    130.6111    0.000000E+00
   70      0.0000    134.6392    0.000000E+00
   71      0.0000    139.0339    0.000000E+00
   72      0.0000    143.9297    0.000000E+00
   73      0.0000    149.5679    0.000000E+00
   74      0.0000    156.4777    0.000000E+00
   75      0.0000    166.4873    0.000000E+00
