 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   13     38.2361      9.3454    5.376561E+00
   14      0.1507     16.6750    2.276033E-02
   15     15.2491     22.0109    2.461915E+00
   16      0.1520     26.5914    2.612310E-02
   17      9.2225     30.7647    1.681063E+00
   18      0.1361     34.6870    2.622570E-02
   19      6.2294     38.4441    1.265255E+00
   20      0.1155     42.0893    2.466227E-02
   21      4.4897     45.6586    1.005433E+00
   22      0.0960     49.1783    2.249837E-02
   23      3.3104     52.6685    8.102995E-01
   24      0.0787     56.1452    2.008344E-02
   25      2.5517     59.6223    6.777461E-01
   26      0.0631     63.1119    1.741696E-02
   27      1.9965     66.6250    5.718725E-01
   28      0.0498     70.1726    1.478330E-02
   29      1.6026     73.7653    4.924298E-01
   30      0.0392     77.4141    1.245326E-02
   31      1.3518     81.1310    4.435271E-01
   32      0.0305     84.9288    1.032477E-02
   33      1.1409     88.8221    3.980976E-01
   34      0.0233     92.8279    8.372829E-03
   35      0.9853     96.9663    3.643293E-01
   36      0.0174    101.2617    6.615144E-03
   37      0.8962    105.7446    3.500527E-01
   38      0.0124    110.4547    4.972555E-03
   39      0.8540    115.4446    3.513599E-01
   40      0.0083    120.7881    3.501308E-03
   41      0.8638    126.5945    3.733864E-01
   42      0.0049    133.0382    2.169113E-03
   43      0.8874    140.4330    4.020739E-01
   44      0.0022    149.4663    1.019718E-03
   45      1.1251    162.5228    5.332118E-01
