 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   13     41.3898      8.5437    5.296925E+00
   14      0.2463     15.2326    3.385549E-02
   15     16.5175     20.0967    2.427017E+00
   16      0.2301     24.2664    3.599128E-02
   17      9.8456     28.0596    1.633341E+00
   18      0.1939     31.6188    3.400527E-02
   19      6.6330     35.0217    1.226144E+00
   20      0.1575     38.3165    3.060773E-02
   21      4.7551     41.5355    9.691586E-01
   22      0.1270     44.7021    2.708838E-02
   23      3.4766     47.8336    7.744963E-01
   24      0.1021     50.9438    2.371311E-02
   25      2.6727     54.0442    6.460813E-01
   26      0.0821     57.1444    2.062461E-02
   27      2.0707     60.2532    5.398171E-01
   28      0.0661     63.3784    1.785842E-02
   29      1.6468     66.5276    4.605318E-01
   30      0.0527     69.7081    1.523727E-02
   31      1.3696     72.9276    4.089790E-01
   32      0.0414     76.1936    1.275500E-02
   33      1.1325     79.5146    3.596497E-01
   34      0.0320     82.8993    1.046564E-02
   35      0.9573     86.3579    3.221611E-01
   36      0.0243     89.9016    8.408062E-03
   37      0.8435     93.5435    2.998562E-01
   38      0.0180     97.2990    6.569465E-03
   39      0.7680    101.1865    2.875776E-01
   40      0.0126    105.2290    4.837515E-03
   41      0.7166    109.4551    2.819172E-01
   42      0.0081    113.9021    3.263403E-03
   43      0.6136    118.6201    2.530296E-01
   44      0.0048    123.6791    2.024874E-03
   45      0.4534    129.1830    1.955643E-01
   46      0.0026    135.2979    1.146101E-03
   47      0.3600    142.3227    1.621037E-01
   48      0.0012    150.9120    5.517213E-04
   49      0.4855    163.3353    2.278196E-01
