 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    4    325.3393      9.2745    4.840952E+01
    5      1.8594     17.4403    3.381561E-01
    6     66.6605     23.8577    1.432728E+01
    7      0.5224     29.7156    1.295526E-01
    8     24.7133     35.3275    6.945946E+00
    9      0.1759     40.8307    5.525495E-02
   10     11.4861     46.3026    3.987894E+00
   11      0.0776     51.7952    2.950810E-02
   12      6.1647     57.3490    2.548025E+00
   13      0.0410     63.0002    1.830203E-02
   14      3.7371     68.7847    1.791779E+00
   15      0.0245     74.7411    1.255682E-02
   16      2.5422     80.9145    1.386997E+00
   17      0.0156     87.3602    9.027019E-03
   18      1.9819     94.1504    1.212370E+00
   19      0.0103    101.3841    6.641307E-03
   20      1.6913    109.2066    1.146453E+00
   21      0.0067    117.8492    4.763158E-03
   22      1.7444    127.7267    1.297808E+00
   23      0.0037    139.7492    2.875089E-03
   24      2.7850    157.0922    2.256176E+00
