 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   17     29.7170      8.1984    3.482496E+00
   18      0.9736     14.5276    1.206146E-01
   19     11.6775     19.0797    1.524867E+00
   20      0.6229     22.9428    8.551056E-02
   21      6.9565     26.4253    1.001560E+00
   22      0.4637     29.6657    6.986621E-02
   23      4.7209     32.7402    7.429169E-01
   24      0.3404     35.6957    5.584743E-02
   25      3.4419     38.5638    5.877410E-01
   26      0.2348     41.3669    4.166693E-02
   27      2.5783     44.1217    4.748033E-01
   28      0.1633     46.8411    3.116582E-02
   29      2.0442     49.5355    4.038248E-01
   30      0.1182     52.2135    2.414154E-02
   31      1.6115     54.8824    3.399292E-01
   32      0.0846     57.5486    1.841201E-02
   33      1.2611     60.2179    2.829058E-01
   34      0.0601     62.8956    1.388485E-02
   35      1.0331     65.5868    2.455943E-01
   36      0.0438     68.2962    1.070569E-02
   37      0.8695     71.0288    2.183476E-01
   38      0.0321     73.7894    8.275864E-03
   39      0.7491     76.5830    1.981456E-01
   40      0.0227     79.4149    6.156423E-03
   41      0.6230     82.2908    1.731345E-01
   42      0.0150     85.2167    4.269016E-03
   43      0.4509     88.1994    1.313461E-01
   44      0.0095     91.2465    2.830943E-03
   45      0.2913     94.3666    8.875636E-02
   46      0.0060     97.5695    1.868322E-03
   47      0.1978    100.8670    6.291692E-02
   48      0.0038    104.2728    1.234164E-03
   49      0.1358    107.8037    4.501451E-02
   50      0.0022    111.4804    7.439806E-04
   51      0.0866    115.3291    2.986570E-02
   52      0.0012    119.3840    4.218792E-04
   53      0.0644    123.6909    2.307211E-02
   54      0.0005    128.3141    1.824795E-04
   55      0.0492    133.3490    1.828545E-02
   56      0.0002    138.9484    7.567040E-05
   57      0.0266    145.3867    1.024229E-02
   58      0.0000    153.2652    0.000000E+00
   59      0.0108    164.6661    4.303168E-03
