 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    2   3532.7117      2.2207    1.344448E+02
    3    113.4928      4.4429    6.046892E+00
    4    449.2612      6.2849    3.077566E+01
    5     44.4074      8.0143    3.718039E+00
    6    136.9957      9.6926    1.355552E+01
    7     18.5438     11.3434    2.117171E+00
    8     58.1227     12.9782    7.520740E+00
    9      8.5793     14.6035    1.240713E+00
   10     29.0093     16.2232    4.636843E+00
   11      5.1717     17.8399    9.053720E-01
   12     15.1089     19.4555    2.875006E+00
   13      3.5624     21.0714    7.321033E-01
   14      8.7944     22.6886    1.941199E+00
   15      2.4214     24.3081    5.713393E-01
   16      6.0666     25.9306    1.523790E+00
   17      1.6835     27.5569    4.484841E-01
   18      4.6700     29.1876    1.315178E+00
   19      1.2863     30.8231    3.818324E-01
   20      3.5343     32.4642    1.102943E+00
   21      1.0381     34.1114    3.397610E-01
   22      2.7024     35.7651    9.256100E-01
   23      0.7475     37.4259    2.674083E-01
   24      2.0424     39.0944    7.617330E-01
   25      0.4816     40.7710    1.869487E-01
   26      1.5035     42.4564    6.065201E-01
   27      0.3105     44.1511    1.299841E-01
   28      1.1397     45.8556    4.944602E-01
   29      0.2009     47.5706    9.021897E-02
   30      0.8895     49.2967    4.129920E-01
   31      0.1287     51.0346    6.171418E-02
   32      0.7733     52.7849    3.825844E-01
   33      0.0906     54.5484    4.620286E-02
   34      0.6194     56.3257    3.253016E-01
   35      0.0702     58.1178    3.793686E-02
   36      0.4249     59.9254    2.360889E-01
   37      0.0549     61.7494    3.134004E-02
   38      0.3244     63.5908    1.901242E-01
   39      0.0418     65.4506    2.513444E-02
   40      0.2735     67.3299    1.686197E-01
   41      0.0314     69.2298    1.983689E-02
   42      0.2339     71.1516    1.513265E-01
   43      0.0229     73.0966    1.516424E-02
   44      0.1867     75.0663    1.264737E-01
   45      0.0158     77.0623    1.094370E-02
   46      0.1296     79.0862    9.173897E-02
   47      0.0104     81.1401    7.520087E-03
   48      0.1077     83.2258    7.951578E-02
   49      0.0060     85.3458    4.521186E-03
   50      0.0923     87.5025    7.095597E-02
   51      0.0027     89.6987    2.116737E-03
   52      0.0511     91.9375    4.083909E-02
   53      0.0010     94.2224    8.144223E-04
   54      0.0177     96.5575    1.468472E-02
   55      0.0004     98.9471    3.379472E-04
   56      0.0062    101.3964    5.332563E-03
   57      0.0001    103.9114    8.753137E-05
   58      0.0023    106.4989    2.048234E-03
   59      0.0000    109.1671    0.000000E+00
   60      0.0004    111.9257    3.683929E-04
   61      0.0000    114.7862    0.000000E+00
   62      0.0001    117.7630    9.514279E-05
   63      0.0000    120.8738    0.000000E+00
   64      0.0001    124.1411    9.818736E-05
   65      0.0000    127.5944    0.000000E+00
   66      0.0001    131.2735    1.012319E-04
   67      0.0000    135.2343    0.000000E+00
   68      0.0000    139.5597    0.000000E+00
   69      0.0000    144.3825    0.000000E+00
   70      0.0000    149.9416    0.000000E+00
   71      0.0000    156.7597    0.000000E+00
   72      0.0000    166.6438    0.000000E+00
