 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   21      8.8153     19.4712    2.627503E+00
   22      0.0108     34.9806    3.368790E-03
   23      3.7949     46.3484    1.236334E+00
   24      0.0113     56.2491    3.838063E-03
   25      2.5413     65.4627    8.983876E-01
   26      0.0099     74.3730    3.637045E-03
   27      1.9764     83.2319    7.534859E-01
   28      0.0077     92.2514    3.042308E-03
   29      1.7023    101.6557    6.961867E-01
   30      0.0055    111.7396    2.325574E-03
   31      1.7238    122.9809    7.527748E-01
   32      0.0032    136.3810    1.441786E-03
   33      2.6147    155.3864    1.214323E+00
