 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   35      2.5026     20.4393    7.810176E-01
   36      0.0036     36.5652    1.155145E-03
   37      1.1374     48.2718    3.749605E-01
   38      0.0035     58.3790    1.184595E-03
   39      0.8134     67.7110    2.824505E-01
   40      0.0026     76.6710    9.256982E-04
   41      0.6574     85.5214    2.398385E-01
   42      0.0017     94.4786    6.351538E-04
   43      0.5068    103.7673    1.938059E-01
   44      0.0010    113.6776    3.912020E-04
   45      0.3802    124.6749    1.520774E-01
   46      0.0005    137.7285    2.043921E-04
   47      0.4449    156.1677    1.857792E-01
