 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   11     35.6601     12.6044    6.936824E+00
   12      0.0628     22.6805    1.327853E-02
   13     14.5210     30.1170    3.315970E+00
   14      0.0618     36.5921    1.515782E-02
   15      8.9401     42.5777    2.343982E+00
   16      0.0537     48.2880    1.498782E-02
   17      6.2192     53.8447    1.840996E+00
   18      0.0449     59.3275    1.405071E-02
   19      4.5501     64.7957    1.500845E+00
   20      0.0365     70.2979    1.265689E-02
   21      3.5283     75.8787    1.283170E+00
   22      0.0287     81.5825    1.092307E-02
   23      2.8244     87.4576    1.122727E+00
   24      0.0218     93.5605    9.034473E-03
   25      2.3848     99.9623    1.028661E+00
   26      0.0159    106.7582    7.127271E-03
   27      2.1844    114.0858    1.016120E+00
   28      0.0107    122.1616    5.158327E-03
   29      2.2462    131.3724    1.120858E+00
   30      0.0060    142.5635    3.095504E-03
   31      3.5870    158.6763    1.911271E+00
