 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   32      2.4574     16.2227    5.989064E-01
   33      0.0073     28.7940    1.833865E-03
   34      1.1323     37.8153    2.929411E-01
   35      0.0078     45.4858    2.076456E-03
   36      0.6454     52.4365    1.766532E-01
   37      0.0067     58.9588    1.884108E-03
   38      0.3879     65.2205    1.119903E-01
   39      0.0052     71.3334    1.540282E-03
   40      0.2918     77.3817    8.862169E-02
   41      0.0038     83.4363    1.182582E-03
   42      0.2349     89.5634    7.486377E-02
   43      0.0027     95.8317    8.807502E-04
   44      0.2048    102.3201    6.834231E-02
   45      0.0018    109.1281    6.141630E-04
   46      0.1784    116.3932    6.220818E-02
   47      0.0010    124.3271    3.561995E-04
   48      0.1576    133.3021    5.731888E-02
   49      0.0005    144.1265    1.855987E-04
   50      0.2595    159.6065    9.827170E-02
