 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    2   3147.3773      2.7482    1.483015E+02
    3     83.0254      5.4991    5.476910E+00
    4    380.8540      7.7802    3.230187E+01
    5     27.1664      9.9228    2.816122E+00
    6    117.8681     12.0031    1.443997E+01
    7      9.1975     14.0507    1.300133E+00
    8     47.3967     16.0801    7.593179E+00
    9      3.9178     18.0995    7.014916E-01
   10     22.8092     20.1139    4.513942E+00
   11      2.0994     22.1268    4.550401E-01
   12     12.2761     24.1407    2.892192E+00
   13      1.2841     26.1577    3.267302E-01
   14      7.1115     28.1794    1.943506E+00
   15      0.8331     30.2071    2.433803E-01
   16      4.4543     32.2422    1.385224E+00
   17      0.5224     34.2858    1.723050E-01
   18      2.9734     36.3391    1.036768E+00
   19      0.3144     38.4031    1.155510E-01
   20      2.2048     40.4789    8.518825E-01
   21      0.1887     42.5676    7.646576E-02
   22      1.7402     44.6704    7.379693E-01
   23      0.1234     46.7883    5.465623E-02
   24      1.4077     48.9226    6.500291E-01
   25      0.0948     51.0745    4.556225E-02
   26      1.2260     53.2454    6.123405E-01
   27      0.0810     55.4365    4.198308E-02
   28      1.0593     57.6494    5.690107E-01
   29      0.0693     59.8857    3.853114E-02
   30      0.8554     62.1470    4.917289E-01
   31      0.0570     64.4353    3.384091E-02
   32      0.7187     66.7523    4.402381E-01
   33      0.0456     69.1004    2.879163E-02
   34      0.6500     71.4818    4.226580E-01
   35      0.0359     73.8991    2.402036E-02
   36      0.4930     76.3551    3.391536E-01
   37      0.0283     78.8531    2.000204E-02
   38      0.3320     81.3964    2.409103E-01
   39      0.0224     83.9891    1.667638E-02
   40      0.2669     86.6355    2.037325E-01
   41      0.0171     89.3407    1.337522E-02
   42      0.2272     92.1103    1.819927E-01
   43      0.0126     94.9511    1.033038E-02
   44      0.1971     97.8708    1.653116E-01
   45      0.0089    100.8783    7.632346E-03
   46      0.1673    103.9844    1.466242E-01
   47      0.0059    107.2021    5.282047E-03
   48      0.1258    110.5472    1.149950E-01
   49      0.0037    114.0394    3.451942E-03
   50      0.1139    117.7039    1.084106E-01
   51      0.0020    121.5734    1.941305E-03
   52      0.1091    125.6921    1.079545E-01
   53      0.0008    130.1222    8.066783E-04
   54      0.0713    134.9557    7.323904E-02
   55      0.0003    140.3405    3.138129E-04
   56      0.0320    146.5423    3.407651E-02
   57      0.0001    154.1430    1.083738E-04
   58      0.0203    165.1565    2.238250E-02
