 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   22      9.7298      9.4273    1.287251E+00
   23      0.4571     16.6523    6.316202E-02
   24      3.9449     21.8144    5.683018E-01
   25      0.2848     26.1703    4.270287E-02
   26      2.3960     30.0778    3.733444E-01
   27      0.1652     33.6986    2.671281E-02
   28      1.6061     37.1218    2.691500E-01
   29      0.0917     40.4030    1.590627E-02
   30      1.1506     43.5795    2.063484E-01
   31      0.0545     46.6782    1.009448E-02
   32      0.9278     49.7190    1.773024E-01
   33      0.0387     52.7177    7.623119E-03
   34      0.7618     55.6872    1.545386E-01
   35      0.0317     58.6380    6.617052E-03
   36      0.5199     61.5794    1.115808E-01
   37      0.0254     64.5197    5.600695E-03
   38      0.3524     67.4664    7.977624E-02
   39      0.0190     70.4267    4.412936E-03
   40      0.2832     73.4074    6.744118E-02
   41      0.0140     76.4155    3.416277E-03
   42      0.2337     79.4578    5.840158E-02
   43      0.0103     82.5419    2.634532E-03
   44      0.1968     85.6753    5.149464E-02
   45      0.0072     88.8667    1.926286E-03
   46      0.1486     92.1254    4.063017E-02
   47      0.0048     95.4621    1.340639E-03
   48      0.1114     98.8893    3.176902E-02
   49      0.0029    102.4214    8.440732E-04
   50      0.1056    106.0759    3.135683E-02
   51      0.0015    109.8743    4.542296E-04
   52      0.0827    113.8435    2.552947E-02
   53      0.0006    118.0187    1.887478E-04
   54      0.0402    122.4467    1.288248E-02
   55      0.0002    127.1933    6.526794E-05
   56      0.0147    132.3559    4.883629E-03
   57      0.0001    138.0902    3.380997E-05
   58      0.0068    144.6762    2.339062E-03
   59      0.0000    152.7271    0.000000E+00
   60      0.0037    164.3667    1.316237E-03
